Subject,Class_ID,Class,Channel,Band,N_Trials,Raw_ERD_ERS_percent,Clean_ERD_ERS_percent,Delta_ERD_ERS_percent,Delta_Accuracy,Delta_F1
A01,1,Left_Hand,C3,Mu,71,78.33637952788398,77.83249495745105,-0.5038845704329236,-0.02491103202846978,-0.027914278507571
A01,2,Right_Hand,C3,Mu,70,32.97593333229546,22.21206026946839,-10.763873062827066,-0.02491103202846978,-0.027914278507571
A01,3,Feet,C3,Mu,69,136.80960645340667,146.00871255361758,9.199106100210907,-0.02491103202846978,-0.027914278507571
A01,4,Tongue,C3,Mu,71,119.38824725388217,153.06759964688584,33.67935239300369,-0.02491103202846978,-0.027914278507571
A01,1,Left_Hand,C3,Beta,71,15.587741440707953,8.366892062683776,-7.220849378024179,-0.02491103202846978,-0.027914278507571
A01,2,Right_Hand,C3,Beta,70,7.185081498119149,3.1123857408989797,-4.07269575722017,-0.02491103202846978,-0.027914278507571
A01,3,Feet,C3,Beta,69,14.51276423446292,16.709093613879777,2.1963293794168566,-0.02491103202846978,-0.027914278507571
A01,4,Tongue,C3,Beta,71,12.472296208900403,16.224622232941993,3.75232602404159,-0.02491103202846978,-0.027914278507571
A01,1,Left_Hand,Cz,Mu,71,55.431078518795275,52.8620464709354,-2.569032047859878,-0.02491103202846978,-0.027914278507571
A01,2,Right_Hand,Cz,Mu,70,49.672289179994614,57.21242873552182,7.540139555527214,-0.02491103202846978,-0.027914278507571
A01,3,Feet,Cz,Mu,69,111.34599095975253,142.16169911800398,30.81570815825146,-0.02491103202846978,-0.027914278507571
A01,4,Tongue,Cz,Mu,71,87.07872414327403,110.00295450673583,22.9242303634618,-0.02491103202846978,-0.027914278507571
A01,1,Left_Hand,Cz,Beta,71,6.861067575807308,-1.1554112595441914,-8.016478835351498,-0.02491103202846978,-0.027914278507571
A01,2,Right_Hand,Cz,Beta,70,0.10249093872404012,-7.6954836841159855,-7.797974622840027,-0.02491103202846978,-0.027914278507571
A01,3,Feet,Cz,Beta,69,12.540280931287358,10.328601583474427,-2.2116793478129315,-0.02491103202846978,-0.027914278507571
A01,4,Tongue,Cz,Beta,71,13.945802846606524,14.044147887475962,0.09834504086943728,-0.02491103202846978,-0.027914278507571
A01,1,Left_Hand,C4,Mu,71,32.06346582390093,37.02482696255879,4.96136113865786,-0.02491103202846978,-0.027914278507571
A01,2,Right_Hand,C4,Mu,70,32.80992878981706,33.73669537764484,0.9267665878277914,-0.02491103202846978,-0.027914278507571
A01,3,Feet,C4,Mu,69,129.49171501661021,174.9913681433926,45.49965312678236,-0.02491103202846978,-0.027914278507571
A01,4,Tongue,C4,Mu,71,113.65094670026147,140.4690128386201,26.818066138358642,-0.02491103202846978,-0.027914278507571
A01,1,Left_Hand,C4,Beta,71,6.627925352482017,-3.1340214661290364,-9.761946818611053,-0.02491103202846978,-0.027914278507571
A01,2,Right_Hand,C4,Beta,70,10.218357036165163,3.6340131186691047,-6.584343917496056,-0.02491103202846978,-0.027914278507571
A01,3,Feet,C4,Beta,69,29.11587324223116,27.716343446889816,-1.3995297953413497,-0.02491103202846978,-0.027914278507571
