Band,Accuracy_Pearson_r,Accuracy_Pearson_p,Accuracy_Spearman_rho,Accuracy_Spearman_p,F1_Pearson_r,F1_Pearson_p,F1_Spearman_rho,F1_Spearman_p
Mu,0.15523800324199336,0.6900340742886227,0.10878756313824399,0.7805538526280621,0.37605793429837603,0.31853806446300503,0.11666666666666665,0.7650079429261462
Beta,-0.24909329113909234,0.5180624060366731,-0.20083857810137354,0.6043593545214949,-0.09062617182908209,0.816636813634329,-0.2333333333333333,0.5456987782182727
