Band,Channel,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Mu,C3,0.29292817759899337,0.4442918823843817,-0.08333333333333334,0.831214097710308
Mu,Cz,0.5743375087304705,0.10579348828271457,0.38333333333333336,0.30849527238037144
Mu,C4,0.25764075514033336,0.503311273986308,-0.016666666666666666,0.9660548039946861
Beta,C3,-0.10668941352088518,0.784705205779361,-0.06666666666666667,0.8646897846262037
Beta,Cz,-0.05179236676534171,0.8947250277844279,-0.26666666666666666,0.4879222748387009
Beta,C4,-0.08874726874288617,0.8203879729405109,-0.18333333333333335,0.6368198117628943
