Class,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Left_Hand,0.8713329087781932,0.0022133867340689626,0.75,0.019942126131992522
Right_Hand,0.8238532081915312,0.006328245363752407,0.9500000000000001,8.762523965086177e-05
Feet,0.7906002491985058,0.011196024142157238,0.9288784237188525,0.0002945257641989606
Tongue,0.8540855014243681,0.003377600982064226,0.6443571047419068,0.06103295769909979
