Analysis_Number,Analysis_Family,CSV_Count,CSV_Files
20,Class-Specific Sensorimotor ERD/ERS,8,lambda075_sensorimotor_erd_ers/class_specific_erd_ers_wilcoxon.csv | lambda075_sensorimotor_erd_ers/class_specific_sensorimotor_erd_ers_lambda075.csv | lambda075_sensorimotor_erd_ers/erd_ers_change_vs_accuracy.csv | lambda075_sensorimotor_erd_ers/erd_ers_change_vs_f1.csv | lambda075_sensorimotor_erd_ers/erd_ers_raw_vs_clean_wilcoxon.csv | lambda075_sensorimotor_erd_ers/motor_region_erd_ers_summary.csv | lambda075_sensorimotor_erd_ers/subject_class_band_erd_ers_lambda075.csv | lambda075_sensorimotor_erd_ers/subject_mechanistic_erd_ers_profile.csv
21,Temporal β Dynamics of λ = 0.75,9,temporal_beta_lambda075/channel_temporal_beta_change.csv | temporal_beta_lambda075/hand_vs_nonhand_temporal_beta_change.csv | temporal_beta_lambda075/motor_channel_temporal_beta_peaks.csv | temporal_beta_lambda075/subject_early_mi_beta_change.csv | temporal_beta_lambda075/subject_temporal_beta_peaks.csv | temporal_beta_lambda075/temporal_beta_change_lambda075.csv | temporal_beta_lambda075/temporal_beta_peak_permutation.csv | temporal_beta_lambda075/temporal_beta_performance_correlations.csv | temporal_beta_lambda075/temporal_beta_summary.csv
22,Normalized Sensorimotor β Class-Contrast,6,normalized_beta_class_contrast/normalized_beta_channel_contrast_vs_f1.csv | normalized_beta_class_contrast/normalized_beta_class_contrast_subjects.csv | normalized_beta_class_contrast/normalized_beta_class_contrast_temporal.csv | normalized_beta_class_contrast/normalized_beta_contrast_vs_eegnet.csv | normalized_beta_class_contrast/normalized_beta_global_temporal_summary.csv | normalized_beta_class_contrast/normalized_beta_motor_channel_summary.csv
23,Spatial Motor Lateralization,7,spatial_motor_lateralization/class_motor_lateralization_lambda075.csv | spatial_motor_lateralization/motor_lateralization_final_summary.csv | spatial_motor_lateralization/motor_lateralization_statistics.csv | spatial_motor_lateralization/subject_motor_lateralization_lambda075.csv | spatial_motor_lateralization/temporal_motor_lateralization_lambda075.csv | spatial_motor_lateralization/temporal_motor_lateralization_summary.csv | spatial_motor_lateralization/trial_level_motor_lateralization_lambda075.csv
24,EEGNet Feature-Space Analysis,6,eegnet_feature_space/eegnet_feature_space_final_summary.csv | eegnet_feature_space/embedding_dimension_summary.csv | eegnet_feature_space/feature_space_paired_statistics.csv | eegnet_feature_space/feature_space_vs_eegnet_benefit.csv | eegnet_feature_space/pairwise_feature_space_distances.csv | eegnet_feature_space/subject_eegnet_feature_space_results.csv
25,Common EEGNet Feature-Space Analysis,6,common_eegnet_feature_space/common_network_confusion_changes.csv | common_eegnet_feature_space/common_network_confusion_summary.csv | common_eegnet_feature_space/common_network_feature_correlations.csv | common_eegnet_feature_space/common_network_pairwise_correlations.csv | common_eegnet_feature_space/common_network_pairwise_results.csv | common_eegnet_feature_space/common_network_subject_results.csv
26,Class-Specific Feature Compactness and Confusion,8,class_specific_compactness/class_compactness_paired_tests.csv | class_specific_compactness/class_compactness_vs_global_f1.csv | class_specific_compactness/class_specific_compactness.csv | class_specific_compactness/class_specific_confusion_changes.csv | class_specific_compactness/compactness_vs_class_accuracy.csv | class_specific_compactness/compactness_vs_error_change.csv | class_specific_compactness/subject_class_error_changes.csv | class_specific_compactness/subject_compactness_summary.csv
27,EEGNet Decision-Margin Analysis,9,decision_margin_analysis/class_decision_margin_paired_tests.csv | decision_margin_analysis/class_decision_margin_results.csv | decision_margin_analysis/class_margin_vs_class_accuracy.csv | decision_margin_analysis/class_specific_error_change.csv | decision_margin_analysis/competitor_transitions.csv | decision_margin_analysis/decision_margin_final_summary.csv | decision_margin_analysis/margin_outcome_transitions.csv | decision_margin_analysis/subject_decision_margin_results.csv | decision_margin_analysis/trial_level_decision_margins.csv
28,Full-Duration Sensorimotor ERD/ERS,11,full_duration_erd_ers/full_duration_class_erd_ers.csv | full_duration_erd_ers/full_duration_class_erd_ers_tests.csv | full_duration_erd_ers/full_duration_erd_ers_final_summary.csv | full_duration_erd_ers/full_duration_erd_ers_vs_accuracy.csv | full_duration_erd_ers/full_duration_erd_ers_vs_f1.csv | full_duration_erd_ers/full_duration_hand_lateralization.csv | full_duration_erd_ers/full_duration_hand_lateralization_tests.csv | full_duration_erd_ers/full_duration_motor_band_correlations.csv | full_duration_erd_ers/full_duration_paired_erd_ers_tests.csv | full_duration_erd_ers/full_duration_subject_erd_ers.csv | full_duration_erd_ers/full_duration_temporal_erd_ers.csv
29,Final Statistical Validation and LOO Robustness,4,final_validation/final_leave_one_subject_out.csv | final_validation/final_master_validation_table.csv | final_validation/final_primary_statistics.csv | final_validation/final_subject_level_results.csv
0,Additional / Unmapped Result,65,eegnet_frequency_cleaning_coefficients.csv | eegnet_frequency_cleaning_performance.csv | eegnet_frequency_cleaning_predictions.csv | eegnet_raw_vs_clean_predictions.csv | eegnet_raw_vs_eog_cleaned.csv | eegnet_suppression_sweep_performance.csv | eegnet_suppression_sweep_predictions.csv | eog_central_region_A01_A09.csv | eog_channel_vs_classification.csv | eog_cleaning_coefficients.csv | eog_contamination_vs_classification.csv | eog_contamination_vs_cleaning_improvement.csv | eog_eeg_r2_all_channels_A01_A09.csv | eog_frequency_analysis_A01_A09.csv | eog_frequency_vs_classification.csv | eog_subject_frequency_summary.csv | evaluation_eog_trial_features.csv | final_artifact_filtered_baseline_mi_eog_r2_statistics.csv | final_artifact_filtered_baseline_mi_eog_r2_subject_band.csv | final_artifact_filtered_baseline_mi_eog_r2_trial_level.csv | frequency_directional_consistency.csv | frequency_matched_eog_change_vs_cleaning_benefit.csv | lambda075_benefit_candidate_scorecard.csv | lambda075_benefit_correlation_stability.csv | lambda075_benefit_feature_correlations.csv | lambda075_benefit_feature_interactions.csv | lambda075_benefit_group_comparisons.csv | lambda075_benefit_multivariate_models.csv | lambda075_benefit_one_sample_tests.csv | lambda075_benefit_quadratic_models.csv | lambda075_benefit_robust_regression.csv | lambda075_benefit_stability_flags.csv | lambda075_benefit_threshold_search.csv | lambda075_benefit_univariate_regression.csv | lambda075_subject_benefit_ranking.csv | lambda075_suppression_benefit_by_subject.csv | lambda_vs_eeg_features_correlations.csv | lambda_vs_eog_features_correlations.csv | leave_one_subject_out_lambda_prediction.csv | master_all_result_files_catalog.csv | master_analysis_directory_inventory.csv | master_complete_analysis_summary.csv | master_complete_result_inventory.csv | master_final_analysis_inventory.csv | master_final_analysis_summary.csv | master_result_file_inventory.csv | mi_eog_change_suppression_performance_master.csv | mi_eog_change_vs_cleaning_benefit.csv | mi_eog_change_vs_cleaning_benefit_correlations.csv | mi_eog_change_vs_optimal_lambda.csv | mi_eog_change_vs_optimal_lambda_master.csv | predictions_EEGNet.csv | predictions_GRU.csv | predictions_LSTM.csv | predictions_RNN.csv | subject_allband_suppression_profiles.csv | subject_best_cleaning_response.csv | subject_classification_performance_raw.csv | subject_eog_best_relationships.csv | subject_eog_nonlinear_relationships.csv | subject_frequency_summary.csv | subject_level_eog_contamination_changes.csv | subject_model_performance.csv | subject_preferred_cleaning_condition.csv | trial_level_eog_frequency_analysis.csv
