Subject,Best_Validation_Accuracy,Raw_Accuracy,Clean_Accuracy,Delta_Accuracy,Raw_F1,Clean_F1,Delta_F1,Raw_Within_Class_Distance,Clean_Within_Class_Distance,Delta_Within_Class_Distance,Raw_Between_Class_Distance,Clean_Between_Class_Distance,Delta_Between_Class_Distance,Raw_Separation_Ratio,Clean_Separation_Ratio,Delta_Separation_Ratio
A01,0.7272727272727273,0.6014234875444839,0.5800711743772242,-0.021352313167259718,0.5871321518757415,0.5671075156115142,-0.020024636264227347,13.527452594444846,12.952531125621864,-0.574921468822982,8.439618110656738,8.364205360412598,-0.07541275024414062,0.6238882045036723,0.6457583679430088,0.021870163439336454
A02,0.4444444444444444,0.27208480565371024,0.30742049469964666,0.035335689045936425,0.22038413957342273,0.30825433676994646,0.08787019719652372,13.428506205865435,8.725148893497858,-4.703357312367578,2.300321340560913,1.6130965948104858,-0.6872247457504272,0.17130135737332838,0.1848789762215514,0.013577618848223005
A03,0.7407407407407407,0.6373626373626373,0.6336996336996337,-0.00366300366300365,0.5959076890510533,0.5816709441158058,-0.014236744935247514,13.680039213690566,13.466082618350075,-0.21395659534049116,8.24566650390625,8.393603324890137,0.14793682098388672,0.6027516716219817,0.6233144087094988,0.020562737087517102
A04,0.4716981132075472,0.39035087719298245,0.37719298245614036,-0.01315789473684209,0.39182013336148674,0.377655222963068,-0.014164910398418717,14.36992721390306,13.57004752075463,-0.79987969314843,5.4933552742004395,5.301029682159424,-0.19232559204101562,0.38228135692194454,0.3906419394664459,0.008360582544501338
A05,0.4339622641509434,0.32608695652173914,0.37318840579710144,0.047101449275362306,0.2939909890269603,0.3513327329906432,0.05734174396368291,14.66707488073819,13.147829898889514,-1.5192449818486757,3.159616470336914,2.93271803855896,-0.2268984317779541,0.21542239990104226,0.22305719355303355,0.007634793651991295
A06,0.5454545454545454,0.49767441860465117,0.5069767441860465,0.009302325581395376,0.49043317793317787,0.5020171787235255,0.011584000790347604,14.42987793767175,13.875453359027242,-0.5544245786445074,4.53399133682251,4.388641834259033,-0.14534950256347656,0.31420857171533817,0.3162881760114759,0.002079604296137738
A07,0.509090909090909,0.3862815884476534,0.4223826714801444,0.03610108303249099,0.3805006602465322,0.4167840069534985,0.03628334670696631,14.45261344152237,13.721056235826403,-0.7315572056959674,5.027318000793457,4.88840913772583,-0.13890886306762695,0.3478483681262773,0.35627061457280057,0.008422246446523285
A08,0.660377358490566,0.6863468634686347,0.6273062730627307,-0.059040590405904037,0.6817753936563588,0.6299782549686507,-0.05179713868770808,13.827370421912837,13.165430795662518,-0.6619396262503194,8.038081169128418,7.784847259521484,-0.2532339096069336,0.5813166874006731,0.591309724713777,0.009993037313103859
A09,0.875,0.6439393939393939,0.6287878787878788,-0.015151515151515138,0.6387300363458207,0.6281710521117301,-0.01055898423409063,13.73967749783487,12.986692421364062,-0.752985076470809,8.488503456115723,8.445690155029297,-0.04281330108642578,0.6178095124469523,0.6503341944970928,0.032524682050140585
