Subject,Raw_ERD_ERS_Percent,Clean_ERD_ERS_Percent,Delta_ERD_ERS_Percent,Delta_Accuracy,Delta_F1
A01,-12.481392793661115,-15.687668698573122,-3.206275904912005,-0.02491103202846978,-0.027914278507571
A02,-13.73498213388118,-12.07336600527517,1.6616161286060092,-0.03886925795052998,-0.02708237236913913
A03,-22.79620951078772,-28.57094614137873,-5.774736630591012,-0.00366300366300365,-0.001569319265132707
A04,-17.549076190419648,-18.501872185602178,-0.9527959951825299,-0.02631578947368418,-0.027482121801537418
A05,-17.378491138849956,-14.739956229427456,2.6385349094225012,0.021739130434782594,0.06250575637185948
A06,-8.87648990479848,-9.341925255430207,-0.4654353506317244,0.0,0.002460527644751187
A07,-38.46427547924933,-40.763564681910516,-2.2992892026611926,0.06137184115523464,0.06590353977961971
A08,-14.161065036774128,-18.921304926006503,-4.760239889232372,0.0,-0.0021923887083538096
A09,-23.26873337086755,-24.264581416246838,-0.9958480453792865,-0.018939393939393923,-0.015270997623866744
