Band,Raw_ERD_ERS_Percent,Clean_ERD_ERS_Percent,Delta_ERD_ERS_Percent
Beta,-3.994215829400579,-7.039451251293492,-3.045235421892914
Mu,-33.49705429488589,-33.59725664645111,-0.10020235156522238
