Band,Channel,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Mu,C3,0.575147902673745,0.10518761783039506,0.21666666666666667,0.5755148957119259
Mu,Cz,0.307524087005501,0.42081243354144543,0.08333333333333334,0.831214097710308
Mu,C4,0.28607519535889187,0.45550867672594464,-0.06666666666666667,0.8646897846262037
Beta,C3,-0.037846682738390314,0.9229913423437427,0.08333333333333334,0.831214097710308
Beta,Cz,-0.10924680285390004,0.7796458470191828,-0.049999999999999996,0.8983528043506301
Beta,C4,-0.2494830167299293,0.5173861226156247,0.049999999999999996,0.8983528043506301
