Subject,Channel_Index,Channel,Raw_Class_R2,Clean_Class_R2,Class_R2_Change,Delta_Accuracy,Delta_F1
A01,0,Fz,0.03374364311891346,0.011898574778405264,-0.021845068340508193,-0.02491103202846978,-0.027914278507571
A01,1,FC3,0.028258109660783244,0.019021277664793907,-0.009236831995989337,-0.02491103202846978,-0.027914278507571
A01,2,FC1,0.026541258406531144,0.014833235733161365,-0.011708022673369779,-0.02491103202846978,-0.027914278507571
A01,3,FCz,0.02401912053407256,0.011685869917184491,-0.012333250616888067,-0.02491103202846978,-0.027914278507571
A01,4,FC2,0.02000397014410114,0.01126311947472632,-0.00874085066937482,-0.02491103202846978,-0.027914278507571
A01,5,FC4,0.010832757058446437,0.0022755640803839346,-0.008557192978062502,-0.02491103202846978,-0.027914278507571
A01,6,C5,0.005652411421230358,0.01700751655035755,0.011355105129127192,-0.02491103202846978,-0.027914278507571
A01,7,C3,0.01637266506200749,0.030225567663945168,0.013852902601937677,-0.02491103202846978,-0.027914278507571
A01,8,C1,0.014128265507617727,0.012209631226373596,-0.001918634281244131,-0.02491103202846978,-0.027914278507571
A01,9,Cz,0.016687712464946543,0.012143239478758802,-0.004544472986187742,-0.02491103202846978,-0.027914278507571
A01,10,C2,0.012558666917225769,0.01014405056539216,-0.0024146163518336088,-0.02491103202846978,-0.027914278507571
A01,11,C4,0.010728481619020003,0.014145965517004972,0.0034174838979849683,-0.02491103202846978,-0.027914278507571
A01,12,C6,0.002786510794282987,0.0015920701147422534,-0.0011944406795407335,-0.02491103202846978,-0.027914278507571
A01,13,CP3,0.03777252166012234,0.07395200036308948,0.03617947870296714,-0.02491103202846978,-0.027914278507571
A01,14,CP1,0.01136042523695277,0.018367908513710018,0.0070074832767572474,-0.02491103202846978,-0.027914278507571
A01,15,CPz,0.01053774134800273,0.008460391239450702,-0.002077350108552029,-0.02491103202846978,-0.027914278507571
A01,16,CP2,0.009081127845977957,0.007408138951894146,-0.0016729888940838116,-0.02491103202846978,-0.027914278507571
A01,17,CP4,0.018761305078744715,0.029400406792319995,0.01063910171357528,-0.02491103202846978,-0.027914278507571
A01,18,P1,0.022414842157236513,0.04289974191178311,0.0204848997545466,-0.02491103202846978,-0.027914278507571
A01,19,Pz,0.011383096365368895,0.017992801054916074,0.006609704689547179,-0.02491103202846978,-0.027914278507571
A01,20,P2,0.011747605449892345,0.017653083910322793,0.005905478460430448,-0.02491103202846978,-0.027914278507571
A01,21,POz,0.019655579934375663,0.030996365822784956,0.011340785888409293,-0.02491103202846978,-0.027914278507571
A02,0,Fz,0.01384258934316476,0.009685045046509601,-0.004157544296655158,-0.03886925795052998,-0.02708237236913913
A02,1,FC3,0.014534746522367333,0.01507946595687656,0.000544719434509228,-0.03886925795052998,-0.02708237236913913
A02,2,FC1,0.014122398846097907,0.012704330218402492,-0.0014180686276954145,-0.03886925795052998,-0.02708237236913913
A02,3,FCz,0.014373234561875423,0.01206292615519786,-0.0023103084066775637,-0.03886925795052998,-0.02708237236913913
A02,4,FC2,0.014502723332908812,0.013573972807815882,-0.00092875052509293,-0.03886925795052998,-0.02708237236913913
A02,5,FC4,0.015027234378696542,0.01620151162798127,0.0011742772492847279,-0.03886925795052998,-0.02708237236913913
A02,6,C5,0.013587248413126548,0.013274376944411113,-0.00031287146871543554,-0.03886925795052998,-0.02708237236913913
A02,7,C3,0.014580036832363774,0.015411851061183986,0.0008318142288202112,-0.03886925795052998,-0.02708237236913913
A02,8,C1,0.014469398627366197,0.015018841896423739,0.000549443269057542,-0.03886925795052998,-0.02708237236913913
A02,9,Cz,0.014993552714388222,0.016491183216489274,0.0014976305021010515,-0.03886925795052998,-0.02708237236913913
A02,10,C2,0.014634210016348808,0.015168473370522963,0.0005342633541741554,-0.03886925795052998,-0.02708237236913913
A02,11,C4,0.01510569048768696,0.016644255042849554,0.001538564555162594,-0.03886925795052998,-0.02708237236913913
