Band,Accuracy_Pearson_r,Accuracy_p,F1_Pearson_r,F1_p
Theta,0.3664547149780165,0.3320408259144222,0.3062214585483926,0.42288479839749515
Alpha_Mu,0.8019163997911051,0.00932756612262879,0.8485848265489856,0.003822998681952393
Beta,-0.30548798388567017,0.4240537008627823,-0.31069254594749707,0.41579084220799134
Gamma,-0.15256794618769753,0.6951570663513091,-0.17804831475286936,0.6467289135380043
