Window,Pearson_r,p,Mean_Class_R2_Change
Early_0_1s,-0.1426916455461906,0.7141981285650144,0.0006978078251783918
Middle_1_2s,0.3994211840006952,0.286868178157777,0.0032039646689356973
Late_2_4s,-0.019997996299116135,0.9592739911714309,0.04826379849764115
