Subject,Band,Raw_Class_R2,Clean_Class_R2,Class_R2_Change,Raw_Absolute_Power,Clean_Absolute_Power,Absolute_Power_Change,Absolute_Power_Change_Percent,Raw_Relative_Power,Clean_Relative_Power,Relative_Power_Change,Relative_Power_Change_Percent,Delta_Accuracy,Delta_F1
A01,Theta,0.011446414611804718,0.015177630931642429,0.003731216319837711,11.049215315204258,9.421181988632672,-1.628033326571586,-14.73437959283256,0.25772197303421734,0.2831967571855198,0.025474784151302443,9.884599225817736,-0.02491103202846978,-0.027914278507571
A01,Alpha_Mu,0.008109603697883893,0.01227630151680202,0.0041666978189181265,10.823399944265255,8.610838148113151,-2.2125617961521034,-20.442391554831367,0.2511369423142549,0.25735744590393245,0.006220503589677573,2.4769368983929407,-0.02491103202846978,-0.027914278507571
A01,Beta,0.0023562412751337025,0.0025791925188852105,0.000222951243751508,15.207714149132403,10.874289467767305,-4.3334246813650985,-28.49491145658021,0.3505493646279072,0.3323507193899165,-0.018198645237990696,-5.191464334076818,-0.02491103202846978,-0.027914278507571
A01,Gamma,0.003160313784045948,0.011767652343883809,0.008607338559837861,3.77995024634242,2.2898238879713095,-1.4901263583711106,-39.42185111597689,0.08578670010270786,0.0706620592596659,-0.015124640843041964,-17.63051944524505,-0.02491103202846978,-0.027914278507571
A02,Theta,0.00995422841525567,0.009824618831750523,-0.000129609583505148,12.198061922118963,8.460501871624784,-3.7375600504941797,-30.640605649958175,0.1440908861787594,0.21986462851026434,0.07577374233150494,52.58746360786477,-0.03886925795052998,-0.02708237236913913
A02,Alpha_Mu,0.02462948086059285,0.02042271201461058,-0.00420676884598227,16.830783797954066,7.4648950361323045,-9.365888761821761,-55.647371353913236,0.18954562857602894,0.19270665158250996,0.003161023006481023,1.667684467443732,-0.03886925795052998,-0.02708237236913913
A02,Beta,0.011452379209757212,0.010736213500407304,-0.0007161657093499082,61.57801876745328,19.887293838364496,-41.69072492908879,-67.70390760139914,0.4618661051603115,0.4174046060958233,-0.04446149906448821,-9.626491004152781,-0.03886925795052998,-0.02708237236913913
A02,Gamma,0.005128273040375574,0.006618830152067078,0.0014905571116915041,24.644973151078712,6.631870332478742,-18.01310281859997,-73.09037306787059,0.158843239080778,0.12065670905588846,-0.03818653002488953,-24.040387394436213,-0.03886925795052998,-0.02708237236913913
A03,Theta,0.008817066941246218,0.013262990799434085,0.004445923858187867,12.165632137680568,10.063549428562803,-2.1020827091177647,-17.278861347508542,0.17392087485351107,0.21962113275092074,0.04570025789740967,26.27646505107669,-0.00366300366300365,-0.001569319265132707
A03,Alpha_Mu,0.021060687036895138,0.02410163467593789,0.0030409476390427514,25.017191387143118,22.70134032339231,-2.3158510637508094,-9.257038601627263,0.3455547969539446,0.46327263001424857,0.11771783306030398,34.066328726437376,-0.00366300366300365,-0.001569319265132707
A03,Beta,0.0018557413372315592,0.011935603779322445,0.010079862442090885,24.333656723772386,9.713647763592569,-14.620008960179817,-60.08143012018834,0.33299035177659725,0.2166733666759802,-0.11631698510061705,-34.93103763518468,-0.00366300366300365,-0.001569319265132707
A03,Gamma,0.005395962453085949,0.016500050404881707,0.011104087951795759,7.652467502675414,2.407401922121885,-5.245065580553529,-68.54084096038014,0.10430828553087963,0.05459137143690286,-0.04971691409397677,-47.663437128643515,-0.00366300366300365,-0.001569319265132707
A04,Theta,0.02565990443786451,0.01781000514299751,-0.007849899294867,11.698138598080552,9.959250884163339,-1.7388877139172134,-14.864653032940922,0.30216849759919806,0.3061459601189156,0.003977462519717534,1.3163061508130192,-0.02631578947368418,-0.027482121801537418
A04,Alpha_Mu,0.03180401000611798,0.033334617970099505,0.0015306079639815229,9.755860019910722,8.349463055360062,-1.4063969645506607,-14.415919884872752,0.2553097152405767,0.2594967445431563,0.004187029302579581,1.6399804052243643,-0.02631578947368418,-0.027482121801537418
A04,Beta,0.004747404438570758,0.005165941802717285,0.00041853736414652724,12.589640744481445,10.381203550371517,-2.208437194109928,-17.54170145862166,0.3339383848738536,0.330333135589165,-0.003605249284688583,-1.0796151170373776,-0.02631578947368418,-0.027482121801537418
A04,Gamma,0.009750460087558378,0.013762237816629282,0.004011777729070904,1.9626708022225763,1.54168053930967,-0.4209902629129063,-21.449866296281918,0.051958989518776005,0.04953514577749449,-0.0024238437412815173,-4.664917011916931,-0.02631578947368418,-0.027482121801537418
