Subject,Window_Start_s,Window_End_s,Window_Center_s,Raw_Left_Hand_Lateralization,Clean_Left_Hand_Lateralization,Delta_Left_Hand_Lateralization,Raw_Right_Hand_Lateralization,Clean_Right_Hand_Lateralization,Delta_Right_Hand_Lateralization
A01,2.0,2.5,2.25,-0.04854014042597125,-0.008272402878673278,0.04026773754729797,-0.10560701738194184,-0.03338860755215437,0.07221840982978747
A01,2.1,2.6,2.35,-0.05531308589287387,-0.040322410196714877,0.014990675696158993,-0.021934660451931653,0.02380419547674181,0.045738855928673466
A01,2.2,2.7,2.45,-0.04449873177406365,-0.014175097503541309,0.030323634270522343,0.021330715097851664,0.018293278661662287,-0.0030374364361893773
A01,2.3000000000000003,2.8000000000000003,2.5500000000000003,0.005310040623523001,0.026355527626683316,0.021045487003160314,-0.005187552356817893,-0.005599514818740595,-0.00041196246192270244
A01,2.4000000000000004,2.9000000000000004,2.6500000000000004,0.031132462511403888,0.041375607610482076,0.010243145099078189,0.004835508589008761,0.0218473859827273,0.01701187739371854
A01,2.5000000000000004,3.0000000000000004,2.7500000000000004,-0.036319737519392443,-0.0099168384546339,0.026402899064758543,0.0007577966011605859,0.05683318878973647,0.056075392188575886
A01,2.6000000000000005,3.1000000000000005,2.8500000000000005,-0.01557045227616253,0.01982728513458143,0.03539773741074396,0.021534076641101057,0.08532067666900521,0.06378660002790415
A01,2.7000000000000006,3.2000000000000006,2.9500000000000006,-0.07045726408095865,-0.04153211473148813,0.02892514934947052,0.021738056944057737,0.05523815372478148,0.03350009678072374
A01,2.8000000000000007,3.3000000000000007,3.0500000000000007,0.010015059754345301,0.04930433597137628,0.03928927621703098,0.02248905392499606,0.03956256185264685,0.01707350792765079
A01,2.900000000000001,3.400000000000001,3.150000000000001,0.14656780575434586,0.1942194353301817,0.04765162957583585,-0.056405441438082043,-0.024661786384035673,0.031743655054046374
A01,3.000000000000001,3.500000000000001,3.250000000000001,0.10416549917569154,0.15570824482119539,0.051542745645503846,-0.10993283405974519,-0.0516470577104154,0.058285776349329785
A01,3.100000000000001,3.600000000000001,3.350000000000001,0.03365895125937768,0.05213713767204914,0.01847818641267146,-0.017570699951084633,0.07348775103467389,0.09105845098575853
A01,3.200000000000001,3.700000000000001,3.450000000000001,0.021514129005353634,0.05868019916340894,0.03716607015805531,0.008654462640330169,0.106014347993096,0.09735988535276584
A01,3.300000000000001,3.800000000000001,3.550000000000001,0.04002195166975228,0.06032876735174963,0.020306815681997346,-0.014778808882221247,0.03480927051222484,0.04958807939444609
A01,3.4000000000000012,3.9000000000000012,3.6500000000000012,0.04287368345268123,0.017538581779803292,-0.025335101672877936,-0.020085607217016115,0.041202622768169994,0.06128822998518611
A01,3.5000000000000013,4.000000000000002,3.7500000000000018,0.06225002668134193,0.035788445874363146,-0.02646158080697878,-0.052529374707424734,0.009192878590599382,0.06172225329802412
A02,2.0,2.5,2.25,-0.037835726193120624,-0.04196962858784198,-0.004133902394721355,-0.018843386544143935,0.015097170870725223,0.033940557414869156
A02,2.1,2.6,2.35,0.004083930463878299,0.040815089774504855,0.03673115931062656,-0.07446884628686457,-0.04793331280857653,0.026535533478288034
A02,2.2,2.7,2.45,0.013147117778666418,0.07146623032721404,0.05831911254854762,-0.0820098519363391,-0.04368007418416665,0.038329777752172445
A02,2.3000000000000003,2.8000000000000003,2.5500000000000003,0.04065913349744798,0.0813977946523405,0.04073866115489252,-0.01670648375584801,0.015960972420986246,0.03266745617683425
A02,2.4000000000000004,2.9000000000000004,2.6500000000000004,0.06785775804567966,0.11635675689854817,0.04849899885286851,0.03175658794028525,0.08661767381354774,0.05486108587326249
A02,2.5000000000000004,3.0000000000000004,2.7500000000000004,0.043881997958791615,0.0820700208967466,0.03818802293795499,0.08129959825893956,0.18527263271242447,0.10397303445348491
A02,2.6000000000000005,3.1000000000000005,2.8500000000000005,0.059640018846094614,0.10396327580864778,0.04432325696255317,0.08434376670668049,0.2311582529139139,0.14681448620723342
A02,2.7000000000000006,3.2000000000000006,2.9500000000000006,0.07087467963746202,0.08479112786884956,0.013916448231387532,0.0356853487856422,0.15712048887954097,0.12143514009389877
A02,2.8000000000000007,3.3000000000000007,3.0500000000000007,0.14658873251510926,0.17906667083357858,0.03247793831846932,0.05625706508873563,0.1499241628325363,0.09366709774380066
A02,2.900000000000001,3.400000000000001,3.150000000000001,0.0635460909845005,0.1177935165534053,0.0542474255689048,0.031538353181517695,0.12773023641253858,0.09619188323102089
A02,3.000000000000001,3.500000000000001,3.250000000000001,0.03850305631103746,0.0540524285565517,0.01554937224551424,0.012371879010332662,0.1130443944366577,0.10067251542632503
A02,3.100000000000001,3.600000000000001,3.350000000000001,0.06555253337770452,0.08253420667903798,0.01698167330133346,0.04335635931090325,0.10401079277574679,0.06065443346484354
A02,3.200000000000001,3.700000000000001,3.450000000000001,0.06572324065426198,0.10268749201881991,0.03696425136455793,0.06935195631806976,0.10702774106786296,0.037675784749793204
A02,3.300000000000001,3.800000000000001,3.550000000000001,0.00714187540725727,-0.011138864357474326,-0.018280739764731595,0.06592009026962303,0.11401847355326597,0.04809838328364294
A02,3.4000000000000012,3.9000000000000012,3.6500000000000012,-0.03614775013501089,-0.09156902552989518,-0.05542127539488429,-0.0030600764288735275,0.0035704188694472435,0.006630495298320771
A02,3.5000000000000013,4.000000000000002,3.7500000000000018,0.03711580910675361,-0.006032586135903206,-0.04314839524265682,-0.07345354866095907,-0.08052560208296182,-0.007072053422002747
