Subject,Raw_Hand_Lateralization,Clean_Hand_Lateralization,Delta_Hand_Lateralization,Raw_Expected_Hand_Lateralization,Clean_Expected_Hand_Lateralization,Delta_Expected_Hand_Lateralization,Delta_Accuracy,Delta_F1
A01,0.017236264906580992,-0.00025693502529919646,-0.01749319993188019,0.01625262851261455,0.07237705997623016,0.05612443146361561,-0.02491103202846978,-0.027914278507571
A02,-0.016763451809880644,-0.0370099142619872,-0.020246462452106557,0.05959665248432922,0.08967930895455951,0.03008265647023029,-0.03886925795052998,-0.02708237236913913
A03,-0.03314799746596689,-0.08423382732488056,-0.051085829858913676,0.024386224163210606,0.05118835446141104,0.026802130298200433,-0.00366300366300365,-0.001569319265132707
A04,-0.1480635419074037,-0.17863704673504377,-0.03057350482764007,0.04243854310355079,0.063609975782337,0.02117143267878621,-0.02631578947368418,-0.027482121801537418
A05,-0.03231411959353106,-0.021481436549669185,0.010832683043861875,-0.010243739530338638,-0.008296008748657853,0.0019477307816807843,0.021739130434782594,0.06250575637185948
A06,-0.08532489347353268,-0.042289794650428765,0.04303509882310392,0.0535103422714627,0.014242464224039712,-0.03926787804742299,0.0,0.002460527644751187
A07,-0.14150466133735606,-0.11739108335129994,0.024113577986056123,0.03269727379409312,0.06236308738922924,0.02966581359513612,0.06137184115523464,0.06590353977961971
A08,-0.030829960980173193,-0.030888380297481786,-5.841931730859312e-05,-0.0004635521071584485,0.030809212345565953,0.0312727644527244,0.0,-0.0021923887083538096
A09,0.03345871942655227,0.03726198450265709,0.003803265076104817,0.04852113837554257,0.07938577591506513,0.03086463753952256,-0.018939393939393923,-0.015270997623866744
