Subject,Class_ID,Class,N_Trials,Raw_C3_Normalized_Beta,Clean_C3_Normalized_Beta,Raw_Cz_Normalized_Beta,Clean_Cz_Normalized_Beta,Raw_C4_Normalized_Beta,Clean_C4_Normalized_Beta,Raw_C3_minus_C4,Clean_C3_minus_C4,Delta_C3_minus_C4,Raw_Expected_Hand_Lateralization,Clean_Expected_Hand_Lateralization,Delta_Expected_Hand_Lateralization,Delta_Accuracy,Delta_F1
A01,1,Left_Hand,71,0.0909881587930632,0.05441263775284085,0.02867087325585359,-0.044502827436462146,0.05773510265146765,-0.017199598994210287,0.033253056141595544,0.07161223674705117,0.03835918060545562,0.033253056141595544,0.07161223674705117,0.03835918060545562,-0.02491103202846978,-0.027914278507571
A01,2,Right_Hand,70,0.058866873212509545,-0.11748107818568652,0.021233791694796895,-0.151882495808621,0.0578762108443005,-0.04432826893414624,0.0009906623682090431,-0.07315280925154027,-0.07414347161974932,-0.0009906623682090431,0.07315280925154027,0.07414347161974932,-0.02491103202846978,-0.027914278507571
A01,3,Feet,69,0.07684040507223228,0.07173776887150182,-0.012653517121621258,-0.04957054487120682,0.07092534860665248,0.02295572592993319,0.005915056465579776,0.04878204294156865,0.04286698647598887,,,,-0.02491103202846978,-0.027914278507571
A01,4,Tongue,71,0.046807672896591365,0.033387667894961254,0.00538111031160312,-0.04116123934579675,-0.03489190737360535,-0.10887644819298468,0.08169958027019668,0.14226411608794595,0.060564535817749274,,,,-0.02491103202846978,-0.027914278507571
A02,1,Left_Hand,71,0.2840368748266567,0.3733362652275254,0.21474016950594457,0.2609305657528995,0.24120367415220806,0.3206668705349531,0.04283320067444858,0.05266939469257231,0.009836194018123731,0.04283320067444858,0.05266939469257231,0.009836194018123731,-0.03886925795052998,-0.02708237236913913
A02,2,Right_Hand,71,0.01637136995602324,-0.03968372752728104,0.04885570954531615,-0.0033758119644326204,0.09273147425023312,0.08700549568926566,-0.07636010429420988,-0.12668922321654671,-0.05032911892233684,0.07636010429420988,0.12668922321654671,0.05032911892233684,-0.03886925795052998,-0.02708237236913913
A02,3,Feet,69,0.2585978482204151,0.213870691852531,0.40420654485438057,0.542310284176206,0.26689303869070535,0.2408158265874841,-0.008295190470290249,-0.026945134734953156,-0.018649944264662908,,,,-0.03886925795052998,-0.02708237236913913
A02,4,Tongue,72,0.13240428930682965,0.04576416802624063,0.1331412902209944,0.028602398851675887,0.07236242989627134,-0.04601820440247512,0.06004185941055833,0.09178237242871573,0.0317405130181574,,,,-0.03886925795052998,-0.02708237236913913
A03,1,Left_Hand,67,-0.0627144262795309,-0.24262094599637724,0.00317110621549778,-0.15838670830543644,-0.05375649387298158,-0.2088356491135763,-0.008957932406549338,-0.03378529688280095,-0.024827364476251612,-0.008957932406549338,-0.03378529688280095,-0.024827364476251612,-0.00366300366300365,-0.001569319265132707
A03,2,Right_Hand,70,-0.017159527492027583,-0.21366773369909678,0.03571477891986637,-0.06301689855558609,0.03914181795938183,-0.08114745580822569,-0.056301345451409406,-0.13252027789087112,-0.0762189324394617,0.056301345451409406,0.13252027789087112,0.0762189324394617,-0.00366300366300365,-0.001569319265132707
A03,3,Feet,68,0.15680802180911363,-0.015788013251033416,0.12991373438410664,-0.07143161744949643,0.16028239528844485,-0.036449606134122604,-0.0034743734793312294,0.02066159288308919,0.024135966362420422,,,,-0.00366300366300365,-0.001569319265132707
A03,4,Tongue,68,0.151685387767025,0.19512153883952293,0.07892263726901445,0.1008486126694978,0.03037393945039917,0.07909144196980936,0.12131144831662588,0.11603009686971355,-0.00528135144691233,,,,-0.00366300366300365,-0.001569319265132707
A04,1,Left_Hand,59,-0.12383942769898405,-0.10459002315186158,-0.17573811268760672,-0.16948385181631268,-0.0200046831121456,0.008487436428765408,-0.10383474458683846,-0.11307745958062702,-0.009242714993788564,-0.10383474458683846,-0.11307745958062702,-0.009242714993788564,-0.02631578947368418,-0.027482121801537418
A04,2,Right_Hand,57,-0.07090554149181928,-0.07974358470716707,-0.12559192632208901,-0.13798721435724337,0.12293868536143265,0.1667533855736765,-0.19384422685325195,-0.24649697028084355,-0.0526527434275916,0.19384422685325195,0.24649697028084355,0.0526527434275916,-0.02631578947368418,-0.027482121801537418
A04,3,Feet,59,0.12180754927023388,0.08714057841784657,0.2039258825888639,0.15820685173257612,0.3207318368066695,0.2985265916900031,-0.1989242875364357,-0.21138601327215648,-0.012461725735720769,,,,-0.02631578947368418,-0.027482121801537418
A04,4,Tongue,53,0.09019795930083349,0.08671092748164447,0.16992988418922494,0.1627503001876596,0.36213671185437196,0.43434382645939545,-0.27193875255353844,-0.347632898977751,-0.07569414642421257,,,,-0.02631578947368418,-0.027482121801537418
A05,1,Left_Hand,70,-0.04613116015747303,-0.09620861749499325,-0.019961626755334767,-0.07532890049713947,-0.005093224573741554,-0.06749465238589217,-0.041037935583731505,-0.02871396510910107,0.012323970474630436,-0.041037935583731505,-0.02871396510910107,0.012323970474630436,0.021739130434782594,0.06250575637185948
A05,2,Right_Hand,65,-0.008838292143699099,-0.04073922789338459,-0.014251771260724874,-0.043203105646170074,0.014080948691154551,-0.027046668253872818,-0.022919240834853662,-0.01369255963951177,0.009226681195341892,0.022919240834853662,0.01369255963951177,-0.009226681195341892,0.021739130434782594,0.06250575637185948
A05,3,Feet,72,0.09552576871615784,0.05172739494098181,0.12004333954770262,0.06702983009449787,0.12211582504054513,0.06540311426071574,-0.026590056324387285,-0.01367571931973393,0.012914337004653356,,,,0.021739130434782594,0.06250575637185948
A05,4,Tongue,69,0.09834695127045177,0.1126253589302151,0.07054984526239455,0.07938555083932548,0.05892703977120048,0.06812560506038386,0.039419911499251316,0.044499753869831245,0.005079842370579929,,,,0.021739130434782594,0.06250575637185948
A06,1,Left_Hand,53,0.05727912741194057,-0.06017369327372694,0.09866928298341072,-0.16665991725434892,0.08969395316499307,-0.031597167933632424,-0.032414825753052476,-0.02857652534009448,0.003838300412957997,-0.032414825753052476,-0.02857652534009448,0.003838300412957997,0.0,0.002460527644751187
A06,2,Right_Hand,55,-0.11693566490090833,-0.12289795295514462,0.008325285847287135,-0.14238063188943254,0.019375293830541714,-0.0673935533329392,-0.13631095873145,-0.0555043996222054,0.08080655910924459,0.13631095873145,0.0555043996222054,-0.08080655910924459,0.0,0.002460527644751187
A06,3,Feet,54,0.34855314121968206,0.36739986947900255,0.165839839822778,0.18397781143455647,0.24307281886756496,0.33778453674705283,0.10548032235211703,0.029615332731949696,-0.07586498962016733,,,,0.0,0.002460527644751187
A06,4,Tongue,53,0.28790211587258746,0.19138769066562428,0.18364112500126287,-0.010836585437493988,0.20066252450940342,0.194794547393763,0.08723959136318415,-0.003406856728138694,-0.09064644809132284,,,,0.0,0.002460527644751187
A07,1,Left_Hand,71,-0.45294960782102095,-0.4714158576493183,-0.3242757070753236,-0.34123304937773075,-0.34567471869386035,-0.41716290388389643,-0.10727488912716066,-0.054252953765421816,0.05302193536173884,-0.10727488912716066,-0.054252953765421816,0.05302193536173884,0.06137184115523464,0.06590353977961971
A07,2,Right_Hand,69,-0.3570463282356943,-0.40645632633575246,-0.312574206116514,-0.3482276889245637,-0.18031972737770233,-0.22409702268594034,-0.17672660085799194,-0.1823593036498122,-0.0056327027918202655,0.17672660085799194,0.1823593036498122,0.0056327027918202655,0.06137184115523464,0.06590353977961971
A07,3,Feet,71,-0.1834632436965796,-0.1879320232772486,-0.3532141216861162,-0.38990579940871384,-0.18614184052873525,-0.20062578166464706,0.002678596832155629,0.012693758387398493,0.010015161555242864,,,,0.06137184115523464,0.06590353977961971
A07,4,Tongue,66,-0.07592328975273935,-0.11112996943602485,-0.21507724015300633,-0.2560067585596815,-0.07050613396092643,-0.11683539554845944,-0.005417155791812857,0.005705426112434543,0.0111225819042474,,,,0.06137184115523464,0.06590353977961971
A08,1,Left_Hand,66,0.01315992664393992,-0.19488854018433743,0.026152191599239222,-0.20684876741012603,0.044927583868958385,-0.19480817271799863,-0.03176765722501847,-8.036746633881222e-05,0.031687289758679654,-0.03176765722501847,-8.036746633881222e-05,0.031687289758679654,0.0,-0.0021923887083538096
A08,2,Right_Hand,68,0.013214167486165431,-0.07448879967036544,-0.007822300995956719,-0.0931318405307282,0.04313401152281232,-0.013698524566186037,-0.029919844036646877,-0.06079027510417938,-0.0308704310675325,0.029919844036646877,0.06079027510417938,0.0308704310675325,0.0,-0.0021923887083538096
A08,3,Feet,69,0.013364147779649194,-0.10132715457606695,-0.0011192621859985742,-0.07742016090176777,0.03695021496207441,-0.033620726548689264,-0.023586067182425226,-0.06770642802737771,-0.04412036084495248,,,,0.0,-0.0021923887083538096
A08,4,Tongue,68,-0.016846521821151043,-0.008777808934250276,-0.02981470344715693,0.002323732407741984,-0.08574935117476724,-0.1709194923586206,0.0689028293536162,0.16214168342437033,0.09323885407075412,,,,0.0,-0.0021923887083538096
A09,1,Left_Hand,65,-0.38888168040114374,-0.41400611384182834,-0.3415372253538419,-0.33180404161867044,-0.47086153820323856,-0.5306538742595506,0.08197985780209487,0.1166477604177222,0.03466790261562733,0.08197985780209487,0.1166477604177222,0.03466790261562733,-0.018939393939393923,-0.015270997623866744
A09,2,Right_Hand,65,-0.05909616534646404,-0.04151806544996701,-0.027813492112874455,-0.0814622809673061,-0.044033746397473726,0.000605725962441028,-0.015062418948990314,-0.042123791412408025,-0.02706137246341771,0.015062418948990314,0.042123791412408025,0.02706137246341771,-0.018939393939393923,-0.015270997623866744
A09,3,Feet,69,0.01122055956606557,0.04714043960185115,-0.12046056956896055,-0.12910603237044196,-0.15613052407039107,-0.08465430680413694,0.16735108363645668,0.13179474640598807,-0.03555633723046861,,,,-0.018939393939393923,-0.015270997623866744
A09,4,Tongue,65,0.23585448403295375,0.3593300510518322,-0.013086323678968706,0.010458405643264869,0.06924960788231015,0.05188260230899552,0.1666048761506436,0.3074474487428365,0.14084257259219293,,,,-0.018939393939393923,-0.015270997623866744
