EEG_Band,Feature_Column,N_Subjects,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Theta,Theta_Relative_Power,9,-0.5033919477705561,0.1671235483495764,-0.41666666666666663,0.26458604674749614
Alpha_Mu,Alpha_Mu_Relative_Power,9,0.17426372902514864,0.6538545228977322,0.33333333333333337,0.38071318167686347
Beta,Beta_Relative_Power,9,0.18701263475003257,0.629950515563806,-0.016666666666666666,0.9660548039946861
Gamma,Gamma_Relative_Power,9,0.3300379433213863,0.38572958564647325,0.4666666666666666,0.20538635110581185
