Band,N_Subjects,Baseline_Mean,MI_Mean,Mean_Change,Median_Change,Positive_Subjects,Negative_Subjects,Paired_t,Paired_t_p,Wilcoxon_W,Wilcoxon_p,Wilcoxon_p_Bonferroni,Paired_t_p_Bonferroni
Theta,9,0.42733994851192186,0.37581451732104504,-0.0515254311908768,-0.05215247229007888,0,9,-8.970641680190313,1.898159048429116e-05,0.0,0.00390625,0.015625,7.592636193716464e-05
Alpha_Mu,9,0.44361454162095293,0.4641524791180702,0.020537937497117298,0.029204817126278673,7,2,1.7606740001627927,0.1163273387094977,9.0,0.12890625,0.515625,0.4653093548379908
Beta,9,0.4343145646290983,0.47564233490759544,0.04132777027849718,0.045233594123019784,9,0,8.791119934417072,2.2015850733489302e-05,0.0,0.00390625,0.015625,8.806340293395721e-05
Gamma,9,0.47832877901404586,0.5176503579707155,0.039321578956669656,0.06108654457600956,7,2,3.3591777092350483,0.009943909802532836,3.0,0.01953125,0.078125,0.039775639210131344
