Band,N_Subjects,Mean_Delta_R2,Median_Delta_R2,Std_Delta_R2,Min_Delta_R2,Max_Delta_R2,Positive_Subjects,Negative_Subjects,No_Change_Subjects,T_statistic,T_test_p,Wilcoxon_statistic,Wilcoxon_p
Theta,9,0.24622960106299574,0.17425923342031469,0.1886906126865135,0.05393769756257849,0.5430537731380773,9,0,0,3.914814800120602,0.004450764861810199,0.0,0.00390625
Alpha_Mu,9,-0.13714747578992212,-0.11776554517554805,0.20235607694575225,-0.48811660841256377,0.1530848065053605,2,7,0,-2.033259557013779,0.07646953735788853,8.0,0.09765625
Beta,9,0.07206508208117265,0.06566515778354604,0.10986578358013124,-0.03265097459785429,0.34063649146442887,6,3,0,1.9678123542971384,0.08462952250323826,6.0,0.0546875
Gamma,9,0.011009684553755528,0.005029601831238701,0.043529639528220095,-0.0404805759966942,0.11155113593051036,5,4,0,0.7587715868828635,0.4697517758254476,18.0,0.65234375
