Channel,Alpha_Mu,Beta,Delta,Gamma,Theta
C1,33.60305782221588,39.832722082309076,40.99898198705283,48.81422293143054,19.629344634392464
C2,41.12107681204037,42.341166663378594,45.69097316705737,49.71916110838353,23.135279224149574
C3,25.259287499622566,36.80049433663533,44.62317534701396,48.374449945659066,20.721527048724905
C4,39.19362073784382,41.8942067969521,52.6582091987931,49.34027542797389,28.16858989924647
C5,24.350241346228415,38.9192600064272,52.16565319587633,46.36656701590368,25.098937556965183
C6,45.33660542653327,46.731435359321885,62.96788824167283,47.954791920623336,37.04347987509635
Cz,39.20155190658373,40.16836970903688,38.93008561555961,47.986480384716664,18.736748400773653
