Lambda,Accuracy_Mean_Change,Accuracy_Median_Change,Accuracy_Improved_Subjects,Accuracy_Harmed_Subjects,Accuracy_Wilcoxon_p,Accuracy_Paired_t_p,Accuracy_Cohens_d,F1_Mean_Change,F1_Median_Change,F1_Improved_Subjects,F1_Harmed_Subjects,F1_Wilcoxon_p,F1_Paired_t_p,F1_Cohens_d,Accuracy_Wilcoxon_p_Holm,F1_Wilcoxon_p_Holm
0.25,0.024234366642967704,0.00877192982456143,6,2,0.1953125,0.18727463207398895,0.4806739890652584,0.028011375655232245,0.011456755141464159,5,4,0.359375,0.23617072557988636,0.4269076132826193,0.5859375,1.0
0.5,0.00286942895003412,0.0037878787878787845,5,4,1.0,0.7972727724295708,0.08852916460019021,-0.002176863723545416,-0.010172220172802504,4,5,0.8203125,0.8663062828964816,-0.05794811446415122,1.0,1.0
0.75,0.01303833170475607,0.011070110701106972,5,4,0.49609375,0.53367988187924,0.21679075266429676,0.005582293032561658,0.00732826173448653,6,3,0.65234375,0.8289672284631477,0.07440282380702186,0.9921875,1.0
1.0,0.04253884626384716,0.032558139534883734,8,1,0.0078125,0.0029042888367676214,1.4076358549013879,0.049706733166703994,0.028502345578236554,8,1,0.0078125,0.015414809440992713,1.0223777442083735,0.03125,0.03125
