Feature,Outcome,Pearson_r,Spearman_rho,Spearman_p,LOO_Mean_r,LOO_Positive_Fraction,Quadratic_Delta_R2,Absolute_Spearman
Delta_Theta_R2,Delta_Accuracy,0.007943592821720793,0.050209644525343385,0.8979283954703233,0.009915567316224484,0.5555555555555556,0.0024949878059671304,0.050209644525343385
Gamma_Relative_Power,Delta_Accuracy,-0.16401311117323333,-0.3096261412396175,0.4174779170120546,-0.1667579017480108,0.1111111111111111,0.04775523883583921,0.3096261412396175
EOG_Gamma_R2,Delta_Accuracy,-0.3522549186129755,-0.1924703040138163,0.6198061390079386,-0.329702010973459,0.1111111111111111,0.0799743867747531,0.1924703040138163
Gamma_Relative_Power,Delta_F1,-0.18535736462180455,-0.18333333333333335,0.6368198117628943,-0.1919525012204945,0.1111111111111111,0.024962693193258723,0.18333333333333335
EOG_Gamma_R2,Delta_F1,-0.24023558357535132,-0.16666666666666669,0.668231040071504,-0.23106329712640017,0.1111111111111111,0.01789761017890923,0.16666666666666669
Delta_Theta_R2,Delta_F1,-0.19427363839303063,0.016666666666666666,0.9660548039946861,-0.18704812783718086,0.1111111111111111,0.03450163535962103,0.016666666666666666
Delta_Alpha_Mu_R2,Delta_F1,-0.7156758129198783,-0.2333333333333333,0.5456987782182727,-0.7057041237218711,0.0,0.46887525691111553,0.2333333333333333
Delta_Alpha_Mu_R2,Delta_Accuracy,-0.5681109512095694,-0.1924703040138163,0.6198061390079386,-0.5527412310186204,0.0,0.5504380903002608,0.1924703040138163
