Subject,Accuracy_%,Macro_F1_%,Weighted_F1_%
A01,43.40277777777778,43.31341362508044,43.31341362508044
A02,38.54166666666667,38.14224881133102,38.14224881133102
A03,59.375,58.45975965183507,58.459759651835085
A04,34.375,34.40377552295091,34.40377552295091
A05,36.80555555555556,36.77131121170356,36.77131121170357
A06,35.41666666666667,35.21267957440458,35.21267957440457
A07,52.77777777777778,52.76947830139319,52.76947830139319
A08,42.36111111111111,42.35794551230989,42.35794551230988
A09,48.26388888888889,47.90063501326997,47.90063501326998
