Feature,Outcome,OLS_Slope_Per_SD,OLS_Intercept,Huber_Slope_Per_SD,Huber_Intercept,Slope_Difference
EOG_Gamma_R2,Delta_Accuracy,-0.010668324942340454,-0.0032875006072293628,-0.004478861231433409,-0.008015032616318106,0.006189463710907045
EOG_Gamma_R2,Delta_F1,-0.008773095416010136,0.003262038391181065,-0.002454802904257817,-0.00725061220016975,0.006318292511752319
Delta_Theta_R2,Delta_Accuracy,0.00024057812951327416,-0.0032875006072293645,0.003353909215941867,-0.010264873805269225,0.0031133310864285926
Delta_Theta_R2,Delta_F1,-0.007094624123003488,0.0032620383911810638,0.0027058024282684977,-0.009104116306327488,0.009800426551271986
Delta_Alpha_Mu_R2,Delta_Accuracy,-0.01720569936871438,-0.003287500607229364,-0.013370188601425042,-0.004297309299370274,0.0038355107672893383
Delta_Alpha_Mu_R2,Delta_F1,-0.026135562851401506,0.0032620383911810646,-0.026876803180455964,0.004831393529888128,-0.0007412403290544579
Gamma_Relative_Power,Delta_Accuracy,-0.004967269645772405,-0.0032875006072293654,0.0006274184526363963,-0.009005632878143868,0.0055946880984088015
Gamma_Relative_Power,Delta_F1,-0.006769013239777691,0.0032620383911810625,0.00044001361156566866,-0.00810373998489811,0.007209026851343359
