Feature,Outcome,Linear_R2,Quadratic_R2,Delta_R2,Linear_RMSE,Quadratic_RMSE,Delta_RMSE,Quadratic_Linear_Coefficient,Quadratic_Squared_Coefficient
EOG_Gamma_R2,Delta_Accuracy,0.12408352768703401,0.20405791446178712,0.0799743867747531,0.02672355645130843,0.025474381143813125,-0.0012491753074953052,-0.0021764969508887523,1.859216845729255e-05
EOG_Gamma_R2,Delta_F1,0.0577131356157895,0.07561074579469873,0.01789761017890923,0.03342187608914195,0.033102950175705644,-0.00031892591343630344,-0.001347431803005653,1.0605434275813673e-05
Delta_Theta_R2,Delta_Accuracy,6.310066691717076e-05,0.002558088472884301,0.0024949878059671304,0.02855283301485574,0.028517189033887502,-3.5643980968239064e-05,0.7320629457099046,6.6010606271906065
Delta_Theta_R2,Delta_F1,0.0377422465744659,0.07224388193408693,0.03450163535962103,0.033774191832942085,0.033163180119566475,-0.0006110117133756102,2.773345087805629,29.59890852216295
Delta_Alpha_Mu_R2,Delta_Accuracy,0.32275005288424197,0.8731881431845028,0.5504380903002608,0.023498351609153575,0.010168170944757377,-0.013330180664396198,-0.9966648852045827,31.048676260744447
Delta_Alpha_Mu_R2,Delta_F1,0.5121918691985285,0.9810671261096441,0.46887525691111553,0.024047158928545434,0.004737481502584155,-0.019309677425961277,-1.3127580236204952,34.553644049210625
Gamma_Relative_Power,Delta_Accuracy,0.02690030063672344,0.07465553947256265,0.04775523883583921,0.02816706378297735,0.027467214733431163,-0.0006998490495461855,-0.009294647002495111,0.0004976943170962899
Gamma_Relative_Power,Delta_F1,0.03435735261954054,0.05932004581279926,0.024962693193258723,0.033833542717523986,0.03339336626285603,-0.0004401764546679565,-0.008856757379123099,0.00043388460293409224
