Subject,Best_Accuracy_Lambda,Best_Accuracy,Accuracy_Gain_vs_Raw,Best_F1_Lambda,Best_F1,F1_Gain_vs_Raw
A01,0.0,0.6227758007117438,0.0,0.0,0.6150849154850597,0.0
A02,1.0,0.4275618374558304,0.08480565371024734,1.0,0.4294867597315074,0.10079040479854429
A03,1.0,0.717948717948718,0.02564102564102566,1.0,0.6987398301061474,0.021663593383351998
A04,0.75,0.5394736842105263,0.10087719298245618,0.75,0.5341184907325685,0.10102157236042075
A05,0.25,0.40942028985507245,0.09420289855072461,0.25,0.39800902972002977,0.1521907526841565
A06,0.5,0.4930232558139535,0.04186046511627911,0.5,0.48715750356354215,0.04391242958100505
A07,0.25,0.5451263537906137,0.09025270758122739,0.25,0.5420264892160219,0.09215311267855875
A08,1.0,0.7121771217712177,0.05535055350553508,1.0,0.7088721373699218,0.052772723609145644
A09,0.25,0.7196969696969697,0.06060606060606066,0.25,0.7208808109987696,0.06262315902017901
