Subject,N_Trials,N_Errors,Error_Rate,EOG_Coefficient,Odds_Ratio,CI_Low,CI_High,OR_CI_Low,OR_CI_High,P_Value
A01,281,121,0.4306049822064057,0.022706806083710538,1.022966568000145,-0.009940968035772015,0.05535458020319309,0.9901082800606211,1.0569153094870831,0.1728284003561229
A02,283,181,0.6395759717314488,0.027201801950413888,1.027575148510564,0.006891193159363568,0.04751241074146421,1.0069149920671587,1.0486592156789347,0.008665894056507787
A03,273,86,0.315018315018315,0.024426077335372425,1.0247268377689256,-0.006244211068609465,0.055096365739354315,0.9937752435034455,1.056642433898849,0.11853981727548506
A04,228,107,0.4692982456140351,-0.008001389193311741,0.9920305367139167,-0.046954338754439696,0.030951560367816218,0.9541309634039455,1.0314355403182298,0.6872429412354899
A05,276,173,0.6268115942028986,-0.024213358097923895,0.9760774335153466,-0.058456170087782436,0.010029453891934645,0.9432195807251137,1.0100799174307675,0.16577568674477694
A06,215,140,0.6511627906976745,0.007957535140027087,1.0079892804717756,-0.0396964211315828,0.05561149141163698,0.9610811588007683,1.057186877759439,0.7434514287449001
A07,277,154,0.555956678700361,0.0262323594339757,1.0265794561839807,-0.02542020629352402,0.07788492516147541,0.9749001667599614,1.080998255812668,0.31954631609778794
A08,271,88,0.3247232472324723,0.006499269673783585,1.0065204357567776,-0.04083850672486724,0.05383704607243441,0.959984148414445,1.0553126208065726,0.7878569755078837
A09,264,71,0.2689393939393939,0.0037401673759105613,1.0037471705301781,-0.05209860582985932,0.059578940581680444,0.9492352620972277,1.0613895443805605,0.8955526904653779
