Subject,Best_Lambda_Accuracy,Best_Accuracy,Best_Lambda_F1,Best_Macro_F1
A01,0.0,0.6227758007117438,0.0,0.6150849154850597
A02,0.0,0.34275618374558303,0.0,0.3286963549329631
A03,0.0,0.6923076923076923,0.0,0.6770762367227954
A04,0.5,0.4868421052631579,0.5,0.4862092862092863
A05,1.0,0.36594202898550726,1.0,0.3420109733870915
A06,0.25,0.4604651162790698,0.25,0.45210873399279194
A07,1.0,0.5234657039711191,1.0,0.5230245794504107
A08,0.0,0.6568265682656826,0.0,0.6560994137607762
A09,0.25,0.678030303030303,0.25,0.6804046041092744
