Feature,Outcome,Full_Pearson_r,LOO_Min_r,LOO_Max_r,LOO_Mean_r,LOO_SD_r,LOO_Positive_Fraction
EOG_Gamma_R2,Delta_Accuracy,-0.3522549186129755,-0.4892967615683233,0.11041884231835707,-0.329702010973459,0.18583292049819392,0.1111111111111111
EOG_Gamma_R2,Delta_F1,-0.24023558357535132,-0.38623630246203117,0.13442832712794378,-0.23106329712640017,0.15978051960218811,0.1111111111111111
Delta_Theta_R2,Delta_Accuracy,0.007943592821720793,-0.10184333675673156,0.2074012344207348,0.009915567316224484,0.08720058648292382,0.5555555555555556
Delta_Theta_R2,Delta_F1,-0.19427363839303063,-0.33611078683877527,0.1785257660516975,-0.18704812783718086,0.14800218531221895,0.1111111111111111
Delta_Alpha_Mu_R2,Delta_Accuracy,-0.5681109512095694,-0.6603112385571548,-0.23663342234731197,-0.5527412310186204,0.12967218247912574,0.0
Delta_Alpha_Mu_R2,Delta_F1,-0.7156758129198783,-0.79904432400948,-0.5585401569165369,-0.7057041237218711,0.08580847773001081,0.0
Gamma_Relative_Power,Delta_Accuracy,-0.16401311117323333,-0.3455055278351625,0.13114593373251113,-0.1667579017480108,0.13208053233198977,0.1111111111111111
Gamma_Relative_Power,Delta_F1,-0.18535736462180455,-0.31871096362832535,0.009132017807544126,-0.1919525012204945,0.09567917804267068,0.1111111111111111
