Band,N_Subjects,Baseline_Mean,MI_Mean,Mean_Change,Median_Change,Positive_Subjects,Negative_Subjects,Paired_t,Paired_t_p,Wilcoxon_W,Wilcoxon_p,Cohens_d,Wilcoxon_p_Bonferroni,Paired_t_p_Bonferroni,Wilcoxon_p_FDR
Theta,9,0.42785466589232996,0.37370200633899514,-0.05415265955333485,-0.05421303822384943,0,9,-10.121071248920094,7.758235350844528e-06,0.0,0.00390625,-3.3736904163067005,0.015625,3.1032941403378114e-05,0.0078125
Alpha_Mu,9,0.44504897872867943,0.4623654377755917,0.017316459046912345,0.029586286876032736,6,3,1.5135476764211429,0.1685988958660937,10.0,0.1640625,0.5045158921403813,0.65625,0.6743955834643748,0.1640625
Beta,9,0.4339814047729731,0.4748350824851831,0.04085367771220994,0.04198509184766842,9,0,8.577006600659656,2.636296937950955e-05,0.0,0.00390625,2.8590022002198836,0.015625,0.0001054518775180382,0.0078125
Gamma,9,0.475239610189661,0.5143216881310961,0.03908207794143529,0.059868851004948154,7,2,3.4265821249134105,0.009000102938643265,3.0,0.01953125,1.142194041637804,0.078125,0.03600041175457306,0.026041666666666668
