Subject,Predicted_Condition,Actual_Best_Condition,Action_Prediction_Correct,Nearest_Training_Subject,Nearest_Distance,Selected_Features,Inner_Action_Accuracy,Adaptive_Accuracy,Adaptive_F1,Raw_Accuracy,Raw_F1,All_Clean_Accuracy,All_Clean_F1,Oracle_Accuracy,Oracle_F1,Adaptive_Accuracy_Improvement,Adaptive_F1_Improvement,Accuracy_Regret,F1_Regret
A01,Alpha_Mu_Clean,Raw,0,A06,0.2408247975537893,EOG_Gamma_R2+Gamma_Relative_Power,0.625,0.5836298932384342,0.56360469099629,0.6227758007117438,0.6150849154850597,0.5871886120996441,0.5697533583183418,0.6227758007117438,0.6150849154850597,-0.039145907473309594,-0.051480224488769766,0.039145907473309594,0.051480224488769766
A02,All_Clean,All_Clean,1,A08,0.05861414845565549,EOG_Gamma_R2,0.25,0.3674911660777385,0.3585828275971122,0.342756183745583,0.3286963549329631,0.3674911660777385,0.3585828275971122,0.3674911660777385,0.3585828275971122,0.024734982332155542,0.029886472664149066,0.0,0.0
A03,All_Clean,Gamma_Clean,0,A02,0.24986618425291018,EOG_Gamma_R2,0.5,0.7032967032967034,0.6755924093026737,0.6923076923076923,0.6770762367227954,0.7032967032967034,0.6755924093026737,0.706959706959707,0.6941171861644538,0.010989010989011061,-0.0014838274201216528,0.00366300366300365,0.018524776861780112
A04,Alpha_Mu_Clean,Alpha_Mu_Clean,1,A06,0.2274869539917238,EOG_Gamma_R2,0.25,0.5131578947368421,0.5098628179134944,0.4385964912280701,0.4330969183721477,0.5087719298245614,0.5089476408412336,0.5131578947368421,0.5098628179134944,0.07456140350877205,0.07676589954134672,0.0,0.0
A05,Raw,Alpha_Mu_Clean,0,A01,0.43228848082694693,EOG_Gamma_R2,0.5,0.3152173913043478,0.2458182770358732,0.3152173913043478,0.2458182770358732,0.3442028985507246,0.2866100043493601,0.3840579710144927,0.3800229181331034,0.0,0.0,0.0688405797101449,0.1342046410972302
A06,Raw,Alpha_Mu_Clean,0,A01,0.006687519220283111,Gamma_Relative_Power,0.375,0.4511627906976744,0.4432450739825371,0.4511627906976744,0.4432450739825371,0.4651162790697674,0.4547691181005242,0.4976744186046511,0.4885073701611792,0.0,0.0,0.046511627906976716,0.04526229617864208
A07,All_Clean,Beta_Clean,0,A09,0.25036927159518974,EOG_Gamma_R2,0.5,0.4909747292418772,0.4778662020610823,0.4584837545126354,0.4535917655575161,0.4909747292418772,0.4778662020610823,0.5487364620938628,0.5469820535415119,0.032490974729241784,0.0242744365035662,0.05776173285198566,0.06911585148042954
A08,All_Clean,All_Clean,1,A02,0.05935868282175982,EOG_Gamma_R2,0.25,0.6900369003690037,0.6806904293046201,0.6568265682656826,0.6565976390556222,0.6900369003690037,0.6806904293046201,0.6900369003690037,0.6806904293046201,0.03321033210332103,0.02409279024899791,0.0,0.0
A09,Beta_Clean,All_Clean,0,A07,0.237718577454201,EOG_Gamma_R2,0.5,0.7007575757575758,0.7032144275725952,0.6590909090909091,0.6582576519785905,0.7386363636363636,0.7386075368691581,0.7386363636363636,0.7386075368691581,0.04166666666666674,0.04495677559400468,0.037878787878787845,0.03539310929656292
