Band,N,Baseline_Mean_R2,MI_Mean_R2,Mean_Change_R2,Median_Change_R2,Positive_Changes,Negative_Changes,Paired_t,Paired_t_p,Wilcoxon_W,Wilcoxon_p,Wilcoxon_p_Bonferroni,Paired_t_p_Bonferroni
Theta,2538,0.7018811720689421,0.9481107731319379,0.24622960106299577,0.07062268146499456,1437,1101,7.364803722682698,2.3859928650144927e-13,1307159.0,1.8825315549080155e-16,7.530126219632062e-16,9.54397146005797e-13
Alpha_Mu,2538,0.6859640435503414,0.5488165677604193,-0.13714747578992212,-0.00762617452237041,1246,1292,-5.342391545345893,9.988524208062805e-08,1522387.0,0.016397789009179743,0.06559115603671897,3.995409683225122e-07
Beta,2538,0.3857269509743261,0.45779203305549876,0.07206508208117268,0.01725641952287283,1392,1146,4.563838510883133,5.2619274368785565e-06,1409165.0,4.589327347307026e-08,1.8357309389228104e-07,2.1047709747514226e-05
Gamma,2538,0.17122071908616548,0.18223040363992102,0.01100968455375552,0.0030235295973544875,1382,1156,1.5248116458144247,0.12743072622860116,1488107.0,0.0008734489128065126,0.0034937956512260506,0.5097229049144046
