Feature,Outcome,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p,Pearson_p_Holm,Spearman_p_Holm,Kendall_p_Holm
EOG_Gamma_R2,Delta_Accuracy,-0.3522549186129755,0.35251359449626823,-0.1924703040138163,0.6198061390079386,-0.14085904245475278,0.6001794871405538,1.0,1.0,1.0
EOG_Gamma_R2,Delta_F1,-0.24023558357535132,0.5335265493160243,-0.16666666666666669,0.668231040071504,-0.16666666666666666,0.612202380952381,1.0,1.0,1.0
Delta_Theta_R2,Delta_Accuracy,0.007943592821720793,0.983818296504861,0.050209644525343385,0.8979283954703233,-0.02817180849095055,0.916511907863894,1.0,1.0,1.0
Delta_Theta_R2,Delta_F1,-0.19427363839303063,0.616466273728745,0.016666666666666666,0.9660548039946861,0.0,1.0,1.0,1.0,1.0
Delta_Alpha_Mu_R2,Delta_Accuracy,-0.5681109512095694,0.11051902859929116,-0.1924703040138163,0.6198061390079386,-0.08451542547285165,0.7531523647659145,0.7736332001950381,1.0,1.0
Delta_Alpha_Mu_R2,Delta_F1,-0.7156758129198783,0.030152294303996928,-0.2333333333333333,0.5456987782182727,-0.16666666666666666,0.612202380952381,0.24121835443197542,1.0,1.0
Gamma_Relative_Power,Delta_Accuracy,-0.16401311117323333,0.6732749039070294,-0.3096261412396175,0.4174779170120546,-0.253546276418555,0.3454475304692257,1.0,1.0,1.0
Gamma_Relative_Power,Delta_F1,-0.18535736462180455,0.6330379237080122,-0.18333333333333335,0.6368198117628943,-0.16666666666666666,0.612202380952381,1.0,1.0,1.0
