Band,Accuracy_Spearman_rho,Accuracy_p,F1_Spearman_rho,F1_p
Delta,0.4666666666666666,0.20538635110581185,0.4666666666666666,0.20538635110581185
Theta,0.18333333333333335,0.6368198117628943,0.18333333333333335,0.6368198117628943
Alpha_Mu,-0.016666666666666666,0.9660548039946861,-0.016666666666666666,0.9660548039946861
Beta,0.08333333333333334,0.831214097710308,0.08333333333333334,0.831214097710308
Gamma,-0.08333333333333334,0.831214097710308,-0.08333333333333334,0.831214097710308
