Feature,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Theta_Relative_Power,0.5845748911658615,0.09829414116045648,0.6061032181989393,0.08360680172552352
Alpha_Mu_Relative_Power,-0.3590693128544813,0.34261399891807187,-0.3425800798515744,0.3668029351553837
Beta_Relative_Power,0.020046927521799745,0.959174409179033,-0.026352313834736494,0.946346564795662
Gamma_Relative_Power,-0.4645101509418287,0.20777142789720654,-0.7642171012073584,0.0164946760724309
