Outcome,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Mean_Accuracy_Improvement,9,0.42633864119352866,0.2525033399104951,0.7166666666666667,0.029818035695845287
Mean_F1_Improvement,9,0.4938202276534498,0.17666658042305278,0.65,0.05807305801714863
