Subject,Theta,Alpha_Mu,Beta,Gamma,Mean_Delta_All_Bands,Positive_Band_Count,Negative_Band_Count,Dominant_Direction
A01,0.3467521967753616,-0.06336970729570662,-0.03265097459785429,-0.0014244169414413949,0.06232677448508982,1,3,Mostly Decreased
A02,0.07966428214775512,-0.156114929616179,0.34063649146442887,0.11155113593051036,0.09393424498162883,3,1,Mostly Increased
A03,0.129850282521629,-0.11776554517554805,-0.010181140337160166,-0.0270363610560036,-0.006283191011770703,1,3,Mostly Decreased
A04,0.5430537731380773,0.1530848065053605,0.08915479566807089,0.0221026117538487,0.20184899676633938,4,0,Mostly Increased
A05,0.05393769756257849,-0.05433887797662201,0.07956998334226506,-0.008343298951470707,0.017706375994187708,2,2,Mixed
A06,0.32187197826689573,-0.48811660841256377,-0.003772947245053615,-0.0404805759966942,-0.05262453834685396,1,3,Mostly Decreased
A07,0.5009434328163777,-0.20085107488972187,0.07181889133516811,0.0104601810090443,0.09559285756771704,3,1,Mostly Increased
A08,0.17425923342031469,-0.3798627191428132,0.06566515778354604,0.0272282834047676,-0.028177511133546225,3,1,Mostly Increased
A09,0.06573353291797235,0.07300737389449485,0.04834548131714299,0.005029601831238701,0.04802899749021223,4,0,Mostly Increased
