Subject,Delta_Alpha_Mu_R2,Delta_Beta_R2,Delta_Gamma_R2,Delta_Theta_R2,Delta_Overall_R2,Optimal_Lambda,All_Clean_Accuracy_Improvement,All_Clean_F1_Improvement,Theta_Clean_Accuracy_Improvement,Theta_Clean_F1_Improvement,Alpha_Mu_Clean_Accuracy_Improvement,Alpha_Mu_Clean_F1_Improvement,Beta_Clean_Accuracy_Improvement,Beta_Clean_F1_Improvement,Gamma_Clean_Accuracy_Improvement,Gamma_Clean_F1_Improvement
A01,0.0295862868760327,0.047101222862827,0.0667229116828805,-0.0471552780865337,0.024063785833801626,0.0,-0.03558718861209964,-0.045331557166717884,-0.02491103202846978,-0.034067597698438035,-0.039145907473309594,-0.051480224488769766,-0.014234875444839812,-0.0158556599655314,0.0,-0.004292954661655357
A02,0.0123729747408106,0.0370744002947483,0.0598688510049481,-0.0569048816171729,0.013102836105833526,0.0,0.024734982332155542,0.029886472664149066,-0.021201413427561766,-0.03055667063709222,-0.03886925795052998,-0.039698147819463625,-0.010600706713780883,-0.009154257245704123,0.0,-0.0008520026836669192
A03,0.0482780897246012,0.0642117473843783,0.0222126300277073,-0.0306141050538108,0.026022090520719,0.0,0.010989010989011061,-0.0014838274201216528,-0.03663003663003661,-0.052930132783696404,-0.04029304029304026,-0.06704562307211859,0.014652014652014711,0.008454819460471885,0.014652014652014711,0.01704094944165846
A04,0.0415172481218911,0.0491384800385508,0.0720598760322497,-0.0645321403842911,0.024545865952100124,0.5,0.07017543859649134,0.07585072246908586,0.030701754385965008,0.03374490748436998,0.07456140350877205,0.07676589954134672,-0.02631578947368418,-0.02521895844500749,0.021929824561403577,0.026477866046526077
A05,-0.0339006935331404,0.016776957308841,0.0368341456467083,-0.07634625503888,-0.014158961404117775,1.0,0.02898550724637683,0.04079172731348693,-0.003623188405797062,0.00901646641390838,0.0688405797101449,0.1342046410972302,0.06159420289855072,0.1318357884414089,-0.025362318840579656,-0.0010316250442126973
A06,0.0485639639307901,0.0306761978730331,0.0619170119480163,-0.0350666892217964,0.026522621132510776,0.25,0.013953488372092981,0.011524044117987076,-0.04186046511627911,-0.049146056339215705,0.046511627906976716,0.04526229617864208,-0.09302325581395349,-0.08836119714595031,-0.08837209302325577,-0.09729191494114281
A07,-0.0342377437013417,0.0522111998831532,-0.0129102880682419,-0.0542130382238494,-0.01228746752756995,1.0,0.032490974729241784,0.0242744365035662,0.05776173285198555,0.053938523010199746,0.09025270758122744,0.0898121246687621,0.09025270758122744,0.09339028798399573,0.07942238267148011,0.07966157118441286
A08,0.048357201919159,0.0419850918476684,0.061372373261159,-0.0474019023448395,0.026078191170786726,0.0,0.03321033210332103,0.02409279024899791,0.02583025830258301,0.017120187593324565,-0.06642066420664205,-0.06276806177016259,0.0073800738007380184,-0.015046945524730737,-0.011070110701106972,-0.01930534133551698
A09,-0.0046891966565917,0.0285078019166889,-0.01633881006251,-0.0751396460088394,-0.01691496270281305,0.25,0.07954545454545459,0.0803498848905676,0.007575757575757569,0.006845367863466678,0.037878787878787956,0.03533427557191793,0.04166666666666674,0.04495677559400468,0.06060606060606066,0.05889102462801388
