Feature,Outcome,Coefficient,SE,p,CI_Low,CI_High,R2,p_Holm
EOG_Gamma_R2,Delta_Accuracy,-0.0004203787458702477,0.00042214923934104424,0.35251359449626807,-0.0014186030750075276,0.0005778455832670323,0.12408352768703401,1.0
EOG_Gamma_R2,Delta_F1,-0.0003456983986066391,0.0005279618973653152,0.5335265493160245,-0.0015941299050336037,0.0009027331078203257,0.05771313561578961,1.0
Delta_Theta_R2,Delta_Accuracy,0.014987927400177748,0.7131187959920222,0.9838182965048612,-1.6712700718692053,1.701245926669561,6.310066691728178e-05,1.0
Delta_Theta_R2,Delta_F1,-0.44199242675240336,0.8435243887350887,0.6164662737287447,-2.4366106531653733,1.5526257996605668,0.0377422465744659,1.0
Delta_Alpha_Mu_R2,Delta_Accuracy,-0.5012889034293624,0.2744608474555327,0.11051902859929093,-1.1502856794354228,0.14770787257669793,0.32275005288424197,0.7736332001950365
Delta_Alpha_Mu_R2,Delta_F1,-0.7614609183577279,0.2808709192969726,0.030152294303996862,-1.4256151056945092,-0.09730673102094667,0.5121918691985285,0.2412183544319749
Gamma_Relative_Power,Delta_Accuracy,-0.0015354069656806743,0.003490395088631422,0.6732749039070292,-0.00978887983989888,0.006718065908537532,0.02690030063672344,1.0
Gamma_Relative_Power,Delta_F1,-0.0020923345862620753,0.00419257158794151,0.6330379237080122,-0.01200619103964744,0.00782152186712329,0.03435735261954054,1.0
