Comparison,Accuracy_Mean_Difference,Accuracy_Median_Difference,Accuracy_Improved_Subjects,Accuracy_Harmed_Subjects,Accuracy_Wilcoxon_p,Accuracy_Paired_t_p,Accuracy_Cohens_d,F1_Mean_Difference,F1_Median_Difference,F1_Improved_Subjects,F1_Harmed_Subjects,F1_Wilcoxon_p,F1_Paired_t_p,F1_Cohens_d,Accuracy_Wilcoxon_p_Holm,F1_Wilcoxon_p_Holm
λ=0.875 vs λ=0.750,0.0038163768741325235,0.0,4,3,0.578125,0.4014210633951978,0.29536194397118587,-0.004031350034432977,-0.002205155493409938,4,5,0.91015625,0.6117649070024753,-0.1760312022817859,1.0,1.0
λ=1.000 vs λ=0.875,0.00643619478992243,0.0036900369003690647,5,4,0.734375,0.38241591500793104,0.308064467316838,0.011462217497768854,-0.003430590529039934,3,6,0.91015625,0.34660094282780257,0.3333278885236492,1.0,1.0
λ=1.000 vs λ=0.750,0.010252571664054954,0.007117437722420017,6,2,0.1953125,0.14146787130445704,0.5437739624971223,0.007430867463335877,0.003522037291787017,6,3,0.42578125,0.31029631077792597,0.36105667086048726,0.5859375,1.0
