Subject,Predicted_Group,Raw_Accuracy,Raw_F1,Lambda075_Accuracy,Lambda075_F1,Adaptive_Lambda,Adaptive_Accuracy,Adaptive_F1,Adaptive_Accuracy_Change,Adaptive_F1_Change,Adaptive_vs_075_Accuracy,Adaptive_vs_075_F1,Oracle_Accuracy,Oracle_F1,Accuracy_Regret,F1_Regret,Actual_Best_Action,Predicted_Action,Action_Decision_Correct
A01,Harmed,0.6227758007117438,0.6150849154850597,0.597864768683274,0.5871706369774887,0.0,0.6227758007117438,0.6150849154850597,0.0,0.0,0.02491103202846978,0.027914278507571,0.6227758007117438,0.6150849154850597,0.0,0.0,Raw,Raw,1.0
A02,Harmed,0.342756183745583,0.3286963549329631,0.303886925795053,0.301613982563824,0.0,0.342756183745583,0.3286963549329631,0.0,0.0,0.03886925795052998,0.02708237236913913,0.342756183745583,0.3286963549329631,0.0,0.0,Raw,Raw,1.0
A03,Harmed,0.6923076923076923,0.6770762367227954,0.6886446886446886,0.6755069174576627,0.0,0.6923076923076923,0.6770762367227954,0.0,0.0,0.00366300366300365,0.001569319265132707,0.6923076923076923,0.6770762367227954,0.0,0.0,Raw,Raw,1.0
A04,Responder,0.4385964912280701,0.4330969183721477,0.4122807017543859,0.4056147965706103,0.75,0.4122807017543859,0.4056147965706103,-0.02631578947368418,-0.027482121801537418,0.0,0.0,0.4385964912280701,0.4330969183721477,0.02631578947368418,0.027482121801537418,Raw,Lambda_0.75,0.0
A05,Responder,0.3152173913043478,0.2458182770358732,0.3369565217391304,0.3083240334077327,0.75,0.3369565217391304,0.3083240334077327,0.021739130434782594,0.06250575637185948,0.0,0.0,0.3369565217391304,0.3083240334077327,0.0,0.0,Lambda_0.75,Lambda_0.75,1.0
A06,Harmed,0.4511627906976744,0.4432450739825371,0.4511627906976744,0.4457056016272883,0.0,0.4511627906976744,0.4432450739825371,0.0,0.0,0.0,-0.002460527644751187,0.4511627906976744,0.4457056016272883,0.0,0.002460527644751187,Tie,Raw,
A07,Responder,0.4548736462093863,0.4498733765374632,0.516245487364621,0.5157769163170829,0.75,0.516245487364621,0.5157769163170829,0.06137184115523464,0.06590353977961971,0.0,0.0,0.516245487364621,0.5157769163170829,0.0,0.0,Lambda_0.75,Lambda_0.75,1.0
A08,Harmed,0.6568265682656826,0.6560994137607762,0.6568265682656826,0.6539070250524224,0.0,0.6568265682656826,0.6560994137607762,0.0,0.0,0.0,0.0021923887083538096,0.6568265682656826,0.6560994137607762,0.0,0.0,Tie,Raw,
A09,Responder,0.6590909090909091,0.6582576519785905,0.6401515151515151,0.6429866543547238,0.75,0.6401515151515151,0.6429866543547238,-0.018939393939393923,-0.015270997623866744,0.0,0.0,0.6590909090909091,0.6582576519785905,0.018939393939393923,0.015270997623866744,Raw,Lambda_0.75,0.0
