Subject,Delta_Accuracy,Delta_F1
A07,0.06137184115523464,0.06590353977961971
A05,0.021739130434782594,0.06250575637185948
A06,0.0,0.002460527644751187
A08,0.0,-0.0021923887083538096
A03,-0.00366300366300365,-0.001569319265132707
A09,-0.018939393939393923,-0.015270997623866744
A01,-0.02491103202846978,-0.027914278507571
A04,-0.02631578947368418,-0.027482121801537418
A02,-0.03886925795052998,-0.02708237236913913
