Subject,Best_Lambda_Accuracy,Best_Accuracy,Best_Lambda_F1,Best_F1
A01,1.0,0.604982206405694,0.875,0.5898188843285429
A02,1.0,0.35335689045936397,1.0,0.3465437799389377
A03,0.75,0.6886446886446886,0.75,0.6755069174576627
A04,0.875,0.44298245614035087,0.875,0.4345854499274311
A05,1.0,0.36594202898550726,1.0,0.3420109733870915
A06,0.75,0.4511627906976744,0.75,0.44570560162728834
A07,0.875,0.5270758122743683,0.875,0.526916454793473
A08,0.75,0.6568265682656826,0.75,0.6539070250524224
A09,0.875,0.6515151515151515,0.875,0.6532008322347655
