Subject,Band,Channel,R2,R2_percent
A05,Theta,C4,0.2747798408249503,27.477984082495034
A05,Theta,C6,0.35611886384483893,35.611886384483896
A05,Alpha_Mu,C5,0.22075880385187407,22.075880385187407
A05,Alpha_Mu,C3,0.22146948952192003,22.146948952192
A05,Alpha_Mu,C1,0.26491790467496557,26.491790467496557
A05,Alpha_Mu,Cz,0.28301891826568515,28.301891826568514
A05,Alpha_Mu,C2,0.3140585336782362,31.40585336782362
A05,Alpha_Mu,C4,0.3562962275891711,35.629622758917115
A05,Alpha_Mu,C6,0.4262729896873608,42.627298968736085
A05,Beta,C5,0.30929337812929736,30.929337812929734
A05,Beta,C3,0.3351431173666356,33.51431173666356
A05,Beta,C1,0.3644973751416012,36.44973751416012
A05,Beta,Cz,0.38192425789706685,38.19242578970668
A05,Beta,C2,0.4097150094955099,40.971500949550986
A05,Beta,C4,0.43952248762621227,43.952248762621224
A05,Beta,C6,0.48264118337267903,48.2641183372679
A05,Gamma,C5,0.255173354464178,25.5173354464178
A05,Gamma,C3,0.24576011486449667,24.576011486449666
A05,Gamma,C1,0.24220602764306365,24.220602764306363
A05,Gamma,Cz,0.2470630037506678,24.706300375066782
A05,Gamma,C2,0.26576830346509817,26.576830346509816
A05,Gamma,C4,0.28416050026741946,28.416050026741946
A05,Gamma,C6,0.3069315050918108,30.693150509181077
A06,Delta,C5,0.26728605541363204,26.728605541363205
A06,Delta,C3,0.19052344614511119,19.052344614511117
A06,Delta,C1,0.18210620979051073,18.210620979051072
A06,Delta,Cz,0.17275717350320374,17.275717350320374
A06,Delta,C2,0.2271797103646931,22.717971036469308
A06,Delta,C4,0.29254421465249847,29.254421465249848
A06,Delta,C6,0.43497109114315036,43.49710911431504
A06,Theta,C5,0.27306665130198193,27.306665130198194
A06,Theta,C3,0.22215611800033486,22.215611800033486
A06,Theta,C1,0.21748905483578085,21.748905483578085
A06,Theta,Cz,0.21294504998630637,21.294504998630636
A06,Theta,C2,0.25212333292509315,25.212333292509314
A06,Theta,C4,0.29112875586843134,29.112875586843135
A06,Theta,C6,0.3737157093189948,37.37157093189948
A06,Alpha_Mu,C5,0.24507359369593806,24.507359369593807
