Feature_Set,N_Features,Inner_Balanced_Accuracy,Held_Out_Subject
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,0.6333333333333333,A05
Gamma_Relative_Power,1,1.0,A06
EOG_Gamma_R2+Delta_Theta_R2,2,1.0,A06
Delta_Theta_R2+Gamma_Relative_Power,2,1.0,A06
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,1.0,A06
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,0.875,A06
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,0.875,A06
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,4,0.875,A06
EOG_Gamma_R2,1,0.75,A06
Delta_Theta_R2,1,0.75,A06
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,0.75,A06
EOG_Gamma_R2+Gamma_Relative_Power,2,0.75,A06
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,0.75,A06
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.75,A06
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.75,A06
Delta_Alpha_Mu_R2,1,0.625,A06
Gamma_Relative_Power,1,1.0,A07
EOG_Gamma_R2+Delta_Theta_R2,2,1.0,A07
Delta_Theta_R2+Gamma_Relative_Power,2,1.0,A07
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,1.0,A07
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,0.8333333333333333,A07
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.8333333333333333,A07
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,4,0.8333333333333333,A07
Delta_Theta_R2,1,0.7333333333333334,A07
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,0.7333333333333334,A07
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,0.7333333333333334,A07
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.7333333333333334,A07
EOG_Gamma_R2,1,0.6333333333333333,A07
Delta_Alpha_Mu_R2,1,0.6333333333333333,A07
EOG_Gamma_R2+Gamma_Relative_Power,2,0.6333333333333333,A07
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,0.6333333333333333,A07
Gamma_Relative_Power,1,1.0,A08
EOG_Gamma_R2+Delta_Theta_R2,2,1.0,A08
Delta_Theta_R2+Gamma_Relative_Power,2,1.0,A08
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,1.0,A08
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,0.875,A08
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,0.875,A08
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.875,A08
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,4,0.875,A08
Delta_Theta_R2,1,0.75,A08
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,0.75,A08
EOG_Gamma_R2+Gamma_Relative_Power,2,0.75,A08
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,0.75,A08
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.75,A08
EOG_Gamma_R2,1,0.625,A08
Delta_Alpha_Mu_R2,1,0.625,A08
Gamma_Relative_Power,1,1.0,A09
EOG_Gamma_R2+Delta_Theta_R2,2,1.0,A09
Delta_Theta_R2+Gamma_Relative_Power,2,1.0,A09
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,1.0,A09
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,0.8333333333333333,A09
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.8333333333333333,A09
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,4,0.8333333333333333,A09
Delta_Theta_R2,1,0.7333333333333334,A09
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,0.7333333333333334,A09
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,0.7333333333333334,A09
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.7333333333333334,A09
EOG_Gamma_R2,1,0.6333333333333333,A09
Delta_Alpha_Mu_R2,1,0.6333333333333333,A09
EOG_Gamma_R2+Gamma_Relative_Power,2,0.6333333333333333,A09
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,0.6333333333333333,A09
