Outcome,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Mean_Accuracy_Improvement,9,0.7650178961652246,0.016313285893439205,0.7,0.03576957497026169
Mean_F1_Improvement,9,0.8270984892427077,0.005949473525838782,0.7666666666666667,0.01594401657897401
