Subject,Lambda,Accuracy,Macro_F1,Best_Validation_Accuracy,Inference_ms,Training_Trials,Validation_Trials,Test_Trials
A01,0.0,0.6227758007117438,0.6150849154850597,0.7090909090909091,36.47780418395996,218,55,281
A01,0.25,0.594306049822064,0.5831529036958438,0.7090909090909091,48.98262023925781,218,55,281
A01,0.5,0.597864768683274,0.5821148230875437,0.7272727272727273,24.713754653930664,218,55,281
A01,0.75,0.597864768683274,0.5871706369774887,0.7272727272727273,24.747371673583984,218,55,281
A01,1.0,0.604982206405694,0.5890743461201681,0.7272727272727273,24.968862533569336,218,55,281
A02,0.0,0.34275618374558303,0.3286963549329631,0.5185185185185185,26.522159576416016,216,54,283
A02,0.25,0.3003533568904594,0.2819910553667213,0.48148148148148145,25.17414093017578,216,54,283
A02,0.5,0.3003533568904594,0.29327960388423435,0.5,25.162696838378906,216,54,283
A02,0.75,0.303886925795053,0.30161398256382405,0.42592592592592593,29.083251953125,216,54,283
A02,1.0,0.3250883392226148,0.3139121792967947,0.42592592592592593,25.003910064697266,216,54,283
A03,0.0,0.6923076923076923,0.6770762367227954,0.8518518518518519,44.11673545837402,216,54,273
A03,0.25,0.6703296703296703,0.6490233297742367,0.8333333333333334,25.090456008911133,216,54,273
A03,0.5,0.684981684981685,0.6669876465963681,0.8703703703703703,90.86489677429199,216,54,273
A03,0.75,0.684981684981685,0.6720322653635751,0.8703703703703703,27.456045150756836,216,54,273
A03,1.0,0.6886446886446886,0.6705209065830042,0.8148148148148148,29.004573822021484,216,54,273
A04,0.0,0.43859649122807015,0.4330969183721477,0.39622641509433965,31.89253807067871,209,53,228
A04,0.25,0.34649122807017546,0.3321037460888946,0.37735849056603776,23.134469985961914,209,53,228
A04,0.5,0.4868421052631579,0.4862092862092863,0.4339622641509434,20.45583724975586,209,53,228
A04,0.75,0.41228070175438597,0.4056147965706103,0.41509433962264153,27.28867530822754,209,53,228
A04,1.0,0.42543859649122806,0.4174527998352659,0.41509433962264153,20.186901092529297,209,53,228
A05,0.0,0.31521739130434784,0.24581827703587328,0.39622641509433965,24.882078170776367,209,53,276
A05,0.25,0.31521739130434784,0.24542335307617025,0.41509433962264153,25.187253952026367,209,53,276
A05,0.5,0.32971014492753625,0.30017240151360325,0.4339622641509434,25.78902244567871,209,53,276
A05,0.75,0.33695652173913043,0.30832403340773273,0.4339622641509434,33.38956832885742,209,53,276
A05,1.0,0.36594202898550726,0.3420109733870915,0.41509433962264153,25.259971618652344,209,53,276
A06,0.0,0.4511627906976744,0.4432450739825371,0.5454545454545454,19.57225799560547,175,44,215
A06,0.25,0.4604651162790698,0.45210873399279194,0.5227272727272727,23.076534271240234,175,44,215
A06,0.5,0.4558139534883721,0.4511890041301806,0.5,19.550561904907227,175,44,215
A06,0.75,0.4511627906976744,0.44570560162728834,0.5454545454545454,19.724369049072266,175,44,215
A06,1.0,0.4372093023255814,0.42638914951463636,0.5909090909090909,22.020339965820312,175,44,215
A07,0.0,0.4584837545126354,0.4535917655575161,0.5818181818181818,25.623798370361328,216,55,277
A07,0.25,0.4981949458483754,0.4957593813387424,0.6363636363636364,25.113344192504883,216,55,277
A07,0.5,0.5018050541516246,0.496961619623336,0.5454545454545454,29.196739196777344,216,55,277
A07,0.75,0.516245487364621,0.5157769163170829,0.5454545454545454,25.252580642700195,216,55,277
A07,1.0,0.5234657039711191,0.5230245794504107,0.5818181818181818,25.261878967285156,216,55,277
A08,0.0,0.6568265682656826,0.6560994137607762,0.7169811320754716,25.603294372558594,211,53,271
A08,0.25,0.6309963099630996,0.6286422009262331,0.7169811320754716,27.81391143798828,211,53,271
A08,0.5,0.6273062730627307,0.6191411251584396,0.7169811320754716,24.255752563476562,211,53,271
A08,0.75,0.6568265682656826,0.6539070250524224,0.6981132075471698,28.64861488342285,211,53,271
A08,1.0,0.6494464944649446,0.6395925972732055,0.6981132075471698,24.55449104309082,211,53,271
A09,0.0,0.6590909090909091,0.6582576519785905,0.875,25.046825408935547,189,48,264
A09,0.25,0.678030303030303,0.6804046041092744,0.875,27.189254760742188,189,48,264
A09,0.5,0.6401515151515151,0.6411018063070449,0.875,25.35104751586914,189,48,264
A09,0.75,0.6401515151515151,0.6429866543547238,0.875,23.48160743713379,189,48,264
A09,1.0,0.6477272727272727,0.6497702417057256,0.875,26.898860931396484,189,48,264
