Subject,Band,N,Baseline_Mean_R2,MI_Mean_R2,Mean_Change_R2,Median_Change_R2,Positive,Negative,Paired_t,Paired_t_p,Wilcoxon_W,Wilcoxon_p
A01,Theta,282,0.627496322087114,0.9742485188624755,0.3467521967753615,0.10303429786986051,164,118,3.6975388952520736,0.00026175543767686254,15250.0,0.0006034768047894983
A01,Alpha_Mu,282,0.4308817994335779,0.3675120921378713,-0.06336970729570657,-0.022813738726496897,133,149,-1.2626591587970728,0.2077585107491125,18419.0,0.26354247040522527
A01,Beta,282,0.231847638277598,0.19919666367974376,-0.03265097459785426,-0.022219686218273964,125,157,-1.2335906009023445,0.218386329304426,17721.0,0.10367480727098459
A01,Gamma,282,0.08656367269832373,0.0851392557568823,-0.0014244169414414187,0.0023550726890947254,147,135,-0.1393025814758387,0.8893108359722429,19120.0,0.54409463696185
A02,Theta,282,0.5280624119533759,0.607726694101131,0.07966428214775519,0.03822141028732984,160,122,1.1122831108262206,0.26696711431238407,17103.0,0.037694242713356425
A02,Alpha_Mu,282,0.649284505816739,0.49316957620056007,-0.15611492961617887,0.01125390652299357,149,133,-2.2771645672000074,0.023528021018952263,18250.0,0.21447507772587115
A02,Beta,282,1.3970305271034866,1.7376670185679157,0.3406364914644292,0.23650842712674366,168,114,3.353740850692276,0.0009068205161761874,15254.0,0.0006099998883437715
A02,Gamma,282,0.8230766792681644,0.9346278151986748,0.1115511359305103,0.04368966235882354,162,120,2.061289049518531,0.040195297550794505,16660.0,0.016334205657916035
A03,Theta,282,0.5245982047052056,0.6544484872268346,0.12985028252162903,-0.0033078019377577005,139,143,1.6428036788288127,0.10154204987904919,18547.0,0.3055174225528786
A03,Alpha_Mu,282,0.5560550717513301,0.438289526575782,-0.11776554517554799,-0.04957313227059279,122,160,-2.196404878314861,0.028879870036206543,16998.0,0.031179961324041345
A03,Beta,282,0.27290825394239154,0.2627271136052313,-0.010181140337160256,-0.004595166003361425,136,146,-0.34017793162733195,0.7339766887945671,19194.0,0.5805065067746779
A03,Gamma,282,0.2122148274701741,0.18517846641417057,-0.027036361056003506,-0.0023822169726826813,139,143,-1.2373808211223205,0.2169787271095704,18879.0,0.4339455748765545
A04,Theta,282,0.5836832154887248,1.1267369886268022,0.5430537731380771,0.21427511290494092,182,100,5.430054202647155,1.2197870199746013e-07,12795.0,1.778370236391575e-07
A04,Alpha_Mu,282,0.27495057373622955,0.42803538024159,0.15308480650536044,0.07868340783579046,175,107,3.536111081219751,0.0004747821179835466,13935.0,1.1365122388739814e-05
A04,Beta,282,0.1314145606578578,0.2205693563259287,0.0891547956680709,0.03800654106492385,181,101,3.834744380640493,0.00015520121074435078,13138.0,6.664730820432904e-07
A04,Gamma,282,0.03338617834603368,0.05548879009988239,0.022102611753848724,0.004163078420956205,168,114,3.0657761652200066,0.002382348675065919,14879.0,0.00021499254305161665
A05,Theta,282,1.2419238920285292,1.2958615895911076,0.05393769756257866,-0.010368121580017868,139,143,0.41928311988748024,0.6753295748881714,19469.0,0.7248271513302693
A05,Alpha_Mu,282,0.5178018153283682,0.4634629373517462,-0.05433887797662193,-0.031789342524796295,133,149,-1.089362000945045,0.27692762218843786,18928.0,0.455239146462764
A05,Beta,282,0.8055919500901985,0.8851619334324635,0.07956998334226507,-0.005048782751110282,140,142,1.0721712670396977,0.2845630562334054,18750.0,0.3807193657577266
A05,Gamma,282,0.16426870259555992,0.15592540364408924,-0.008343298951470714,-0.0050942296061698205,135,147,-0.533695540602304,0.593974100835869,18311.0,0.2313648799506134
A06,Theta,282,1.2957596674181366,1.6176316456850324,0.32187197826689584,0.06027591170878954,149,133,1.9084103932246819,0.05735706219780159,17887.0,0.1320195162635538
A06,Alpha_Mu,282,1.0038529853199383,0.5157363769073747,-0.48811660841256355,-0.11374988089682281,121,161,-5.092706976302954,6.480033438108622e-07,14463.0,6.222398517706443e-05
A06,Beta,282,0.15316413147805794,0.14939118423300435,-0.003772947245053596,-0.0008018904402955626,139,143,-0.24189782653978886,0.8090357729309987,19435.0,0.706307373013209
A06,Gamma,282,0.09102199620513718,0.050541420208442926,-0.04048057599669427,-0.004074018574541527,125,157,-3.1855338772727353,0.0016076001909670643,15657.0,0.001729621018008576
A07,Theta,282,0.26507988991411807,0.7660233227304957,0.5009434328163775,0.2255084785447356,195,87,7.7474421459085026,1.7166439348347357e-13,8761.0,3.2359854738457854e-16
A07,Alpha_Mu,282,0.8538154720093246,0.6529643971196027,-0.20085107488972204,-0.010675432287099103,135,147,-2.3089648725934087,0.021671094633668123,18146.0,0.18776204440643007
A07,Beta,282,0.1301311171998267,0.20195000853499484,0.07181889133516814,0.04344103936369921,185,97,4.389294092225559,1.6111732285406286e-05,13225.0,9.22847058963481e-07
A07,Gamma,282,0.012348016689660948,0.022808197698705263,0.010460181009044315,0.0033711715460611764,170,112,3.8610087621805285,0.00014018178602708255,13211.0,8.75988472043438e-07
A08,Theta,282,0.3267007079495545,0.5009599413698692,0.1742592334203147,0.05603379542451291,163,119,3.5740704418142863,0.0004135362786645789,15240.0,0.0005874520391499867
A08,Alpha_Mu,282,1.1601191193885827,0.7802564002457695,-0.37986271914281344,-0.021682593445152498,133,149,-3.065447135584052,0.0023848854653866513,17953.0,0.14483105486218753
A08,Beta,282,0.26578641049120394,0.3314515682747499,0.06566515778354602,0.025227217646655732,156,126,1.8213690517428556,0.0696139858658756,17115.0,0.0385076872035168
A08,Gamma,282,0.09719212689386388,0.12442041029863146,0.027228283404767576,0.011901087924164472,165,117,2.0353390153635944,0.0427549754855244,16142.0,0.005448029325979646
