EOG_Change_Feature,N_Subjects,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Delta_Theta_R2,9,0.295007801416379,0.44091213384819744,0.10540925533894598,0.7872404144981762
Delta_Alpha_Mu_R2,9,0.19223668163887056,0.6202392611636318,0.2635231383473649,0.49325971044899664
Delta_Beta_R2,9,-0.02493482329329526,0.949229506644439,0.3952847075210474,0.2923519924402384
Delta_Gamma_R2,9,-0.19895625475938947,0.607822322808079,-0.15811388300841894,0.6845283355605285
Delta_Overall_R2,9,0.2682967788790746,0.48516393462959645,0.3162277660168379,0.40708382206558924
