Metric,Mean_Raw,Mean_Adaptive,Mean_Improvement,Median_Improvement,Paired_t_p,Wilcoxon_p
Accuracy,0.5152463979849266,0.5387127729979891,0.023466375013062726,0.0,0.05899466652464374,0.125
Macro_F1,0.5012738703470117,0.5258590671444234,0.024585196797411845,0.0,0.059345314941059935,0.125
