Subject,Feature_Dimension,Raw_Best_Validation,Clean_Best_Validation,Raw_Test_Accuracy,Clean_Test_Accuracy,Delta_Accuracy,Raw_Test_F1,Clean_Test_F1,Delta_F1,Raw_Within_Class_Distance,Clean_Within_Class_Distance,Delta_Within_Class_Distance,Raw_Between_Class_Distance,Clean_Between_Class_Distance,Delta_Between_Class_Distance,Raw_Separation_Ratio,Clean_Separation_Ratio,Delta_Separation_Ratio,Raw_Silhouette,Clean_Silhouette,Delta_Silhouette,Delta_Left_vs_Right,Delta_Left_vs_Feet,Delta_Left_vs_Tongue,Delta_Right_vs_Feet,Delta_Right_vs_Tongue,Delta_Feet_vs_Tongue,Performance_Group
A01,224,0.7090909090909091,0.7272727272727273,0.6227758007117438,0.6263345195729537,0.003558718861209953,0.6150849154850597,0.6206333211982525,0.005548405713192817,13.41642799356664,13.75435066977238,0.337922676205741,8.650707765401426,7.990474679235137,-0.6602330861662891,0.6447847198635552,0.5809416141174603,-0.06384310574609497,-0.002466842650410918,0.006288274232676618,0.008755116883087537,0.8949314649236833,-0.37176898104555356,-1.04306099734411,-1.7275320169844068,-1.861574511648186,0.1476065251008345,Improved
A02,224,0.5185185185185185,0.4074074074074074,0.34275618374558303,0.2968197879858657,-0.04593639575971731,0.3286963549329631,0.2564264503180311,-0.07226990461493205,14.247541413090461,13.758832782742891,-0.4887086303475705,2.782961712289635,2.387541144901465,-0.3954205673881699,0.19532925938595166,0.1735278844217116,-0.02180137496424006,-0.022619345898993955,-0.030394380252814615,-0.00777503435382066,-0.2732439750507951,-0.5109122902931409,0.3204966052232674,-0.8044243669756459,-0.20504693253777528,-0.8993924446949288,Not_Improved
A03,224,0.8518518518518519,0.8888888888888888,0.6923076923076923,0.7216117216117216,0.02930402930402931,0.6770762367227954,0.7011443249307328,0.024068088207937377,13.824885047424063,13.838729477393409,0.013844429969346095,7.886699494759412,8.045493303979702,0.15879380922029007,0.5704712529402847,0.5813751412022767,0.010903888261992067,0.008862116266409674,0.019038703605810142,0.010176587339400469,0.6486138863392945,0.38088315540502826,-0.26953760906630997,0.8981951993171204,-0.373218426224069,-0.33217335044932295,Improved
A04,224,0.39622641509433965,0.5471698113207547,0.43859649122807015,0.4649122807017544,0.026315789473684237,0.4330969183721477,0.46362291965606106,0.030526001283913362,14.012529946688542,14.106477515102656,0.093947568414114,6.310131212019139,6.292829349678808,-0.017301862340331375,0.45032062275880147,0.44609501861407913,-0.004225604144722339,-0.011253809268741902,-0.008455086046693901,0.002798723222048001,0.5189734363630434,-0.19457293448476776,0.3508982459616785,-0.31696688593313294,0.16364294021726522,-0.6257859761660729,Improved
A05,224,0.39622641509433965,0.41509433962264153,0.31521739130434784,0.3188405797101449,0.003623188405797062,0.24581827703587328,0.24794335421736652,0.00212507718149324,14.643732454814327,14.687679878879331,0.043947424065004626,3.0534950329206523,3.1804988734901265,0.12700384056947422,0.20851890338359563,0.21654195214750271,0.008023048763907081,-0.014601617885795642,-0.00973332069560323,0.004868297190192413,-0.7334295442133474,0.37968984067797296,0.2318654654447312,-0.23432181068087932,-0.03201809028734459,1.1502371824757125,Improved
A06,224,0.5454545454545454,0.4090909090909091,0.4511627906976744,0.48372093023255813,0.032558139534883734,0.4432450739825371,0.47707859624267995,0.033833522260142856,14.374527641795671,14.22243074697411,-0.15209689482156108,4.6307717420582195,4.802205615504717,0.17143387344649774,0.3221512287188967,0.33765013174885095,0.01549890302995427,-0.009900036220902717,-0.010851322676944363,-0.0009512864560416463,-1.187202351383493,0.7523013960676419,1.9301987803326304,-0.5481141238716294,-0.1005995583632604,0.1820190978970917,Improved
A07,224,0.5818181818181818,0.5636363636363636,0.4548736462093863,0.5306859205776173,0.07581227436823101,0.4498733765374632,0.5227524518135237,0.07287907527606052,14.268346221581314,13.984456848049632,-0.2838893735316823,5.925430638017296,6.990975683248169,1.0655450452308726,0.41528503345782986,0.49991041906094325,0.08462538560311339,-0.006534845575824225,-0.012041454151401705,-0.00550660857557748,-0.04361810179316805,1.9046800392983547,0.07455055257000875,2.9161786157822362,0.9444092133543087,0.5970699521734888,Improved
A08,224,0.7169811320754716,0.7358490566037735,0.6568265682656826,0.6863468634686347,0.029520295202952074,0.6560994137607762,0.6738229166953329,0.017723502934556712,13.947218572904495,13.929580595067284,-0.017637977837210883,7.50443408110583,7.774200783913886,0.2697667028080559,0.5380595451257089,0.5581073120512237,0.0200477669255148,0.01948562271513421,0.022735531045546167,0.0032499083304119575,0.6832766565990909,1.1103258581254627,-0.06027774961248511,-0.37602836103811743,0.18380045909687048,0.07750335367751315,Improved
A09,224,0.875,0.8333333333333334,0.6590909090909091,0.7196969696969697,0.06060606060606066,0.6582576519785905,0.7177424124801302,0.05948476050153961,13.78395985824917,13.592600004825469,-0.19135985342370176,8.555063490419467,9.005390825522726,0.4503273351032586,0.620653540665935,0.6625215795598891,0.041868038893954074,0.03439920422154171,0.036942681044046626,0.0025434768225049142,0.3110828273057802,0.09391421961831803,1.926895107094328,-0.5783965072221458,0.4821759288944927,0.46629243492878203,Improved
