Metric,Raw_Mean,Clean_Mean,Mean_Change,Wilcoxon_W,Wilcoxon_p
Within_Class_Distance,14.057685461123855,13.986126502089684,-0.07155895903416898,16.0,0.49609375
Between_Class_Distance,6.144410574332342,6.274401139941637,0.12999056560929542,15.0,0.42578125
Separation_Ratio,0.44061934514450657,0.45074122810265965,0.010121882958153146,15.0,0.42578125
Silhouette,-0.0005143949219537516,0.0015032917894024153,0.0020176867113561674,14.0,0.359375
