Band,Signal_Metric,Accuracy_Pearson_r,Accuracy_Pearson_p,Accuracy_Spearman_rho,Accuracy_Spearman_p,F1_Pearson_r,F1_Pearson_p,F1_Spearman_rho,F1_Spearman_p
Theta,Absolute_Power_Change_Percent,0.0038216673383692254,0.9922146579842916,-0.31799441532717476,0.4043225359679229,0.01897060161765889,0.9613649960888468,-0.43333333333333335,0.2439524358800516
Theta,Relative_Power_Change_Percent,-0.18284255040640726,0.637737933699066,-0.23431167445160245,0.5439670667628356,0.0733716235922576,0.8511974856235346,-0.15,0.7000942309691419
Alpha_Mu,Absolute_Power_Change_Percent,0.1900654607308559,0.6242693941028619,-0.025104822262671692,0.9488837293174808,-0.018586876242677124,0.962146025996538,0.0,1.0
Alpha_Mu,Relative_Power_Change_Percent,0.14689734589330175,0.7060724067880573,0.35146751167740364,0.353666329808871,0.14327309698296806,0.7130732212553934,0.21666666666666667,0.5755148957119259
Beta,Absolute_Power_Change_Percent,0.2436090183571313,0.5276160809620012,0.25104822262671694,0.5146735855804967,0.0637669215883669,0.8705344739703685,0.16666666666666669,0.668231040071504
Beta,Relative_Power_Change_Percent,0.3331917002253314,0.38092814840071143,0.24267994853915967,0.5292413110551777,0.18178164459446927,0.6397240565131126,0.13333333333333333,0.7323675052362975
Gamma,Absolute_Power_Change_Percent,0.42226545222944584,0.2575552544407805,0.1924703040138163,0.6198061390079386,0.30376692807396366,0.42680213278120677,0.16666666666666669,0.668231040071504
Gamma,Relative_Power_Change_Percent,0.5141797854738605,0.15673125641839764,0.35983578576496095,0.3415091184940342,0.4799936760406696,0.19098655512536594,0.33333333333333337,0.38071318167686347
