Subject,EOG_Channel_Index,EOG_Channel,Raw_Coupling,Clean_Coupling,Coupling_Change,Coupling_Change_Percent,Delta_Accuracy,Delta_F1
A01,0,EOG_Left,0.3616112643870885,0.10799975551001716,-0.25361150887707135,-70.13374135535548,-0.02491103202846978,-0.027914278507571
A01,1,EOG_Central,0.400752322636786,0.11736757848435088,-0.28338474415243514,-70.71318820758908,-0.02491103202846978,-0.027914278507571
A01,2,EOG_Right,0.43986028641690617,0.1781026281954788,-0.2617576582214274,-59.50927289974288,-0.02491103202846978,-0.027914278507571
A02,0,EOG_Left,0.8481025525696239,0.6168537196839591,-0.23124883288566478,-27.26661206065415,-0.03886925795052998,-0.02708237236913913
A02,1,EOG_Central,0.7822877682248103,0.5547263636213059,-0.22756140460350438,-29.089219318856692,-0.03886925795052998,-0.02708237236913913
A02,2,EOG_Right,0.8644967039438516,0.6093687067615808,-0.25512799718227075,-29.511737409566933,-0.03886925795052998,-0.02708237236913913
A03,0,EOG_Left,0.5714903051495447,0.16497475550711807,-0.40651554964242664,-71.13253645414889,-0.00366300366300365,-0.001569319265132707
A03,1,EOG_Central,0.5688470148182182,0.176772279226448,-0.3920747355917702,-68.92446042229163,-0.00366300366300365,-0.001569319265132707
A03,2,EOG_Right,0.5831047158622918,0.1720946772651556,-0.41101003859713625,-70.48648851850513,-0.00366300366300365,-0.001569319265132707
A04,0,EOG_Left,0.26606517340494806,0.07344211762449751,-0.19262305578045055,-72.39694444611905,-0.02631578947368418,-0.027482121801537418
A04,1,EOG_Central,0.3765641353253336,0.1113567115373752,-0.2652074237879584,-70.42822162520382,-0.02631578947368418,-0.027482121801537418
A04,2,EOG_Right,0.36167714572663434,0.11774694213578658,-0.24393020359084777,-67.4441850896537,-0.02631578947368418,-0.027482121801537418
A05,0,EOG_Left,0.6466651911426525,0.41281516490711545,-0.23385002623553708,-36.16245770432236,0.021739130434782594,0.06250575637185948
A05,1,EOG_Central,0.6028025347171727,0.3357356728112404,-0.2670668619059323,-44.30420353677456,0.021739130434782594,0.06250575637185948
A05,2,EOG_Right,0.6525534516598576,0.3531969887753092,-0.29935646288454837,-45.874627147108775,0.021739130434782594,0.06250575637185948
A06,0,EOG_Left,0.38288907198573713,0.09223241667324503,-0.2906566553124921,-75.91145231831511,0.0,0.002460527644751187
A06,1,EOG_Central,0.4619645243695389,0.14720233148629908,-0.3147621928832398,-68.13557671182828,0.0,0.002460527644751187
A06,2,EOG_Right,0.4321402342356828,0.14380128615143004,-0.28833894808425276,-66.72346734717532,0.0,0.002460527644751187
A07,0,EOG_Left,0.24514468425147043,0.06552558261169265,-0.1796191016397778,-73.27064920384885,0.06137184115523464,0.06590353977961971
A07,1,EOG_Central,0.36611752362278016,0.10823177446571099,-0.2578857491570692,-70.4379693725819,0.06137184115523464,0.06590353977961971
A07,2,EOG_Right,0.3287149540952901,0.08530010551602993,-0.24341484857926018,-74.0504335281009,0.06137184115523464,0.06590353977961971
A08,0,EOG_Left,0.6285771666406076,0.23398785514586565,-0.39458931149474197,-62.774999226204876,0.0,-0.0021923887083538096
A08,1,EOG_Central,0.5971071387568472,0.1888778881386678,-0.4082292506181794,-68.3678395585918,0.0,-0.0021923887083538096
A08,2,EOG_Right,0.6556579520733281,0.24959666557720456,-0.40606128649612355,-61.931878536982964,0.0,-0.0021923887083538096
A09,0,EOG_Left,0.3033188410861063,0.05936037118301173,-0.24395846990309455,-80.42971186014769,-0.018939393939393923,-0.015270997623866744
A09,1,EOG_Central,0.3237844117555881,0.03833711023667727,-0.28544730151891085,-88.15968006958396,-0.018939393939393923,-0.015270997623866744
A09,2,EOG_Right,0.3488355219682378,0.06670315726544336,-0.28213236470279446,-80.87833575861669,-0.018939393939393923,-0.015270997623866744
