Subject,Raw_Class_R2,Clean_Class_R2,Class_R2_Change,Raw_Motor_R2,Clean_Motor_R2,Motor_R2_Change,Delta_Accuracy,Delta_F1
A01,0.017046718990266,0.0188898418784318,0.0018431228881658,0.0145962863819913,0.0188382575532363,0.0042419711712449,-0.0249110320284697,-0.027914278507571
A02,0.0143163972029448,0.0141819663841307,-0.0001344308188141,0.0148930933448129,0.0161824297735076,0.0012893364286946,-0.0388692579505299,-0.0270823723691391
A03,0.045399104556263,0.123101743406969,0.0777026388507059,0.0412957868529721,0.126582853953886,0.0852870671009138,-0.0036630036630036,-0.0015693192651327
A04,0.0467447752278233,0.0528503150727667,0.0061055398449433,0.0250678984849833,0.0340957085782544,0.0090278100932711,-0.0263157894736841,-0.0274821218015374
A05,0.0166900283109926,0.0125255859783342,-0.0041644423326583,0.0197488746010413,0.015593734592883,-0.0041551400081582,0.0217391304347825,0.0625057563718594
A06,0.037061460190672,0.0344763933694355,-0.0025850668212364,0.0336255166497939,0.0318150446637294,-0.0018104719860645,0.0,0.0024605276447511
A07,0.0444856230363682,0.0476655848783949,0.0031799618420267,0.0456027461808236,0.0543371815924871,0.0087344354116634,0.0613718411552346,0.0659035397796197
A08,0.0475675285291936,0.0721269530846405,0.0245594245554469,0.0369889503832571,0.0756182416472719,0.0386292912640147,0.0,-0.0021923887083538
A09,0.1517499459845444,0.1548144533120526,0.0030645073275082,0.1972142962514235,0.2095604908823787,0.0123461946309551,-0.0189393939393939,-0.0152709976238667
