Subject,EEG_Channel_Index,EEG_Channel,Raw_EOG_Coupling,Clean_EOG_Coupling,Coupling_Change,Coupling_Change_Percent,Delta_Accuracy,Delta_F1
A01,0,Fz,0.5405659208606023,0.1774780161992793,-0.3630879046613229,-67.16810857837146,-0.0249110320284697,-0.027914278507571
A01,1,FC3,0.4721454907799713,0.138078946140242,-0.3340665446397293,-70.75500055880245,-0.0249110320284697,-0.027914278507571
A01,2,FC1,0.4644257078270324,0.1395665179356118,-0.3248591898914206,-69.94858045463947,-0.0249110320284697,-0.027914278507571
A01,3,FCz,0.4645361836978769,0.1412526819598305,-0.3232835017380464,-69.59274930202254,-0.0249110320284697,-0.027914278507571
A01,4,FC2,0.4708206722694514,0.1429278442216038,-0.3278928280478475,-69.64282737785013,-0.0249110320284697,-0.027914278507571
A01,5,FC4,0.4952785508739221,0.1653805038416711,-0.329898047032251,-66.60858752113205,-0.0249110320284697,-0.027914278507571
A01,6,C5,0.4058910865642782,0.1374436171068321,-0.2684474694574461,-66.13780847708611,-0.0249110320284697,-0.027914278507571
A01,7,C3,0.3984732958267477,0.1266840369083412,-0.2717892589184064,-68.20764697782352,-0.0249110320284697,-0.027914278507571
A01,8,C1,0.4121068061839102,0.1291719385688712,-0.2829348676150389,-68.65571336591177,-0.0249110320284697,-0.027914278507571
A01,9,Cz,0.4114668507726153,0.1259764897176131,-0.2854903610550022,-69.38356286027275,-0.0249110320284697,-0.027914278507571
A01,10,C2,0.4280197093797442,0.1358147302574821,-0.292204979122262,-68.26904759729517,-0.0249110320284697,-0.027914278507571
A01,11,C4,0.432657434634895,0.1513655346426905,-0.2812918999922044,-65.01492346469838,-0.0249110320284697,-0.027914278507571
A01,12,C6,0.468159249309478,0.1875139684850528,-0.2806452808244251,-59.94654195946555,-0.0249110320284697,-0.027914278507571
A01,13,CP3,0.3131261554577207,0.1073144051723477,-0.2058117502853729,-65.7280609422493,-0.0249110320284697,-0.027914278507571
A01,14,CP1,0.3461610630150611,0.1093924209799546,-0.2367686420351065,-68.39840390275349,-0.0249110320284697,-0.027914278507571
A01,15,CPz,0.3604332668048743,0.1204171898418716,-0.2400160769630027,-66.59098897575923,-0.0249110320284697,-0.027914278507571
A01,16,CP2,0.3800537685906819,0.129359398733215,-0.2506943698574669,-65.9628690927322,-0.0249110320284697,-0.027914278507571
A01,17,CP4,0.3729754735153252,0.1347229337191141,-0.238252539796211,-63.87887588174653,-0.0249110320284697,-0.027914278507571
A01,18,P1,0.2897529339044301,0.1110112916367821,-0.1787416422676479,-61.68760393867237,-0.0249110320284697,-0.027914278507571
A01,19,Pz,0.3114748844589012,0.1130548582562837,-0.1984200262026175,-63.70337902117396,-0.0249110320284697,-0.027914278507571
A01,20,P2,0.3223983463943792,0.1247941930297851,-0.1976041533645941,-61.29192521442759,-0.0249110320284697,-0.027914278507571
A01,21,POz,0.2553855541104927,0.1100582053710674,-0.1453273487394253,-56.90507798908209,-0.0249110320284697,-0.027914278507571
A02,0,Fz,0.8665391741291687,0.5655483394690196,-0.3009908346601491,-34.73482141908135,-0.0388692579505299,-0.0270823723691391
A02,1,FC3,0.8555644232866891,0.6155976158504203,-0.2399668074362688,-28.04777768977649,-0.0388692579505299,-0.0270823723691391
A02,2,FC1,0.838149013491665,0.550466499121246,-0.287682514370419,-34.32355222515333,-0.0388692579505299,-0.0270823723691391
A02,3,FCz,0.8282260291679417,0.5093221078857436,-0.3189039212821981,-38.50445531186428,-0.0388692579505299,-0.0270823723691391
A02,4,FC2,0.840214390651482,0.5476824831992138,-0.2925319074522682,-34.8163410085664,-0.0388692579505299,-0.0270823723691391
A02,5,FC4,0.8566359895293715,0.5849257850867521,-0.2717102044426194,-31.718280315527565,-0.0388692579505299,-0.0270823723691391
A02,6,C5,0.8475643115324522,0.7021032285488372,-0.1454610829836149,-17.162247277803814,-0.0388692579505299,-0.0270823723691391
A02,7,C3,0.8419249834359617,0.6413315275422312,-0.2005934558937304,-23.825573517855812,-0.0388692579505299,-0.0270823723691391
A02,8,C1,0.8294226167383411,0.5813758424327137,-0.2480467743056273,-29.90595738527817,-0.0388692579505299,-0.0270823723691391
A02,9,Cz,0.8168381080238097,0.5353717672236044,-0.2814663408002054,-34.45803250795457,-0.0388692579505299,-0.0270823723691391
A02,10,C2,0.8283265804187766,0.5508543568662009,-0.2774722235525757,-33.49792583165619,-0.0388692579505299,-0.0270823723691391
A02,11,C4,0.8384548418679505,0.5765928052263358,-0.2618620366416146,-31.231501515123423,-0.0388692579505299,-0.0270823723691391
A02,12,C6,0.8420270304445198,0.6008011599066078,-0.241225870537912,-28.648233585870152,-0.0388692579505299,-0.0270823723691391
A02,13,CP3,0.8238474090473306,0.6401330726230842,-0.1837143364242464,-22.2995586812232,-0.0388692579505299,-0.0270823723691391
A02,14,CP1,0.8196343056620162,0.5984606838819438,-0.2211736217800723,-26.984427110018423,-0.0388692579505299,-0.0270823723691391
A02,15,CPz,0.817289715901573,0.5799933984831173,-0.2372963174184557,-29.03454097139692,-0.0388692579505299,-0.0270823723691391
A02,16,CP2,0.8233972781224789,0.5865672913370482,-0.2368299867854306,-28.762541858949724,-0.0388692579505299,-0.0270823723691391
A02,17,CP4,0.8271091801771084,0.5883607444449837,-0.2387484357321248,-28.86540754885609,-0.0388692579505299,-0.0270823723691391
A02,18,P1,0.8141211425388034,0.6405159065546395,-0.1736052359841638,-21.32425101291229,-0.0388692579505299,-0.0270823723691391
A02,19,Pz,0.8135209682995304,0.6096720831769257,-0.2038488851226046,-25.05760675704545,-0.0388692579505299,-0.0270823723691391
A02,20,P2,0.8160330066804664,0.609248225533673,-0.2067847811467934,-25.340247202496315,-0.0388692579505299,-0.0270823723691391
A02,21,POz,0.8109976822666588,0.6453662027625285,-0.1656314795041302,-20.423175444990985,-0.0388692579505299,-0.0270823723691391
A03,0,Fz,0.7569847002309643,0.3175161946210073,-0.439468505609957,-58.05513710856645,-0.0036630036630036,-0.0015693192651327
A03,1,FC3,0.6521016871374502,0.2198229703561213,-0.4322787167813289,-66.2900779599138,-0.0036630036630036,-0.0015693192651327
A03,2,FC1,0.6658585644323746,0.2331697590205037,-0.4326888054118708,-64.98208906882886,-0.0036630036630036,-0.0015693192651327
A03,3,FCz,0.6806091329781897,0.250465222715836,-0.4301439102623536,-63.199843995648784,-0.0036630036630036,-0.0015693192651327
A03,4,FC2,0.6850216951227818,0.2506790549104551,-0.4343426402123266,-63.4056765361973,-0.0036630036630036,-0.0015693192651327
A03,5,FC4,0.6963972161110562,0.2562730143422891,-0.4401242017687671,-63.20016674199045,-0.0036630036630036,-0.0015693192651327
A03,6,C5,0.6198227094945657,0.1710311791330085,-0.4487915303615571,-72.40643549951955,-0.0036630036630036,-0.0015693192651327
A03,7,C3,0.5451067000199987,0.1455914821999577,-0.3995152178200409,-73.29119561461704,-0.0036630036630036,-0.0015693192651327
A03,8,C1,0.5840421898961973,0.1678846471007495,-0.4161575427954478,-71.25470556663245,-0.0036630036630036,-0.0015693192651327
A03,9,Cz,0.6090658658491152,0.1888606979718319,-0.4202051678772832,-68.99174480767591,-0.0036630036630036,-0.0015693192651327
A03,10,C2,0.6126383192734853,0.1910556847056101,-0.4215826345678752,-68.81427774022055,-0.0036630036630036,-0.0015693192651327
A03,11,C4,0.6133407763308463,0.191383744667075,-0.4219570316637712,-68.79650725132296,-0.0036630036630036,-0.0015693192651327
A03,12,C6,0.6274021385727412,0.1996487971167113,-0.4277533414560298,-68.1784959211509,-0.0036630036630036,-0.0015693192651327
A03,13,CP3,0.4803707791238213,0.1059939252390765,-0.3743768538847448,-77.93497651285001,-0.0036630036630036,-0.0015693192651327
A03,14,CP1,0.5042010023683203,0.1226146770053123,-0.3815863253630079,-75.68138967805106,-0.0036630036630036,-0.0015693192651327
A03,15,CPz,0.5096132199161322,0.1258050890987947,-0.3838081308173374,-75.31361350486577,-0.0036630036630036,-0.0015693192651327
A03,16,CP2,0.5227914681152006,0.1338296756800938,-0.3889617924351067,-74.4009449575402,-0.0036630036630036,-0.0015693192651327
A03,17,CP4,0.5297252630462549,0.1412405644710085,-0.3884846985752463,-73.33701555806759,-0.0036630036630036,-0.0015693192651327
A03,18,P1,0.4445807841151775,0.0884001763406714,-0.356180607774506,-80.1160600054703,-0.0036630036630036,-0.0015693192651327
A03,19,Pz,0.4506363783483695,0.094868652978108,-0.3557677253702614,-78.94784852350095,-0.0036630036630036,-0.0015693192651327
A03,20,P2,0.4459930738896883,0.0961130361658818,-0.3498800377238064,-78.44965722726573,-0.0036630036630036,-0.0015693192651327
A03,21,POz,0.4022712650476702,0.075924308817188,-0.3263469562304822,-81.12609191506861,-0.0036630036630036,-0.0015693192651327
A04,0,Fz,0.5789815801694653,0.1905688263906183,-0.388412753778847,-67.08551136724597,-0.0263157894736841,-0.0274821218015374
A04,1,FC3,0.4739902794883506,0.148765827728606,-0.3252244517597445,-68.61416063443505,-0.0263157894736841,-0.0274821218015374
A04,2,FC1,0.4612058235343175,0.1385951006891682,-0.3226107228451492,-69.94940358144552,-0.0263157894736841,-0.0274821218015374
A04,3,FCz,0.4744178936067933,0.1512438622070923,-0.3231740313997009,-68.12011851887563,-0.0263157894736841,-0.0274821218015374
A04,4,FC2,0.4838094184063183,0.1557040450766109,-0.3281053733297073,-67.81707028575333,-0.0263157894736841,-0.0274821218015374
A04,5,FC4,0.5094660376298678,0.1664154789284242,-0.3430505587014435,-67.33531449856393,-0.0263157894736841,-0.0274821218015374
A04,6,C5,0.3599777728813372,0.1113388518935738,-0.2486389209877634,-69.0706314997189,-0.0263157894736841,-0.0274821218015374
A04,7,C3,0.3647268922993037,0.1153511155252574,-0.2493757767740463,-68.3732902726028,-0.0263157894736841,-0.0274821218015374
A04,8,C1,0.3678871395452774,0.1080157850996608,-0.2598713544456166,-70.63887983875368,-0.0263157894736841,-0.0274821218015374
A04,9,Cz,0.3675213513770365,0.1047124685560076,-0.2628088828210289,-71.50846660645189,-0.0263157894736841,-0.0274821218015374
A04,10,C2,0.3791628389340091,0.1099331625050058,-0.2692296764290033,-71.0063457658257,-0.0263157894736841,-0.0274821218015374
A04,11,C4,0.3896756841940574,0.1187606621938127,-0.2709150220002446,-69.52320429245201,-0.0263157894736841,-0.0274821218015374
A04,12,C6,0.408951093665049,0.1220211923736093,-0.2869299012914397,-70.16239979210066,-0.0263157894736841,-0.0274821218015374
A04,13,CP3,0.233469613413692,0.0634030646994913,-0.1700665487142006,-72.84311916551407,-0.0263157894736841,-0.0274821218015374
A04,14,CP1,0.2468120783679685,0.0666774750321618,-0.1801346033358066,-72.98451701672664,-0.0263157894736841,-0.0274821218015374
A04,15,CPz,0.2591318193638898,0.0724157976708718,-0.186716021693018,-72.05445558610431,-0.0263157894736841,-0.0274821218015374
A04,16,CP2,0.2654970200954687,0.0719340401931783,-0.1935629799022904,-72.90589545324767,-0.0263157894736841,-0.0274821218015374
A04,17,CP4,0.2735068797967704,0.0769059464569629,-0.1966009333398075,-71.88153127478623,-0.0263157894736841,-0.0274821218015374
A04,18,P1,0.1174303831831767,0.0286636942026808,-0.0887666889804958,-75.59090464861289,-0.0263157894736841,-0.0274821218015374
A04,19,Pz,0.1492718745374912,0.0423402265407869,-0.1069316479967042,-71.63549618977098,-0.0263157894736841,-0.0274821218015374
A04,20,P2,0.1402296421217229,0.0375958324959246,-0.1026338096257983,-73.18981070828771,-0.0263157894736841,-0.0274821218015374
