Feature,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
EOG_Theta_R2,-0.0538150951518186,0.8906330262526153,0.0527046276694729,0.892879242924744
EOG_Alpha_Mu_R2,-0.0489673264321692,0.9004436945965694,0.0263523138347364,0.946346564795662
EOG_Beta_R2,-0.3943599422704882,0.2935852847791946,-0.7115124735378854,0.0315835041868546
EOG_Gamma_R2,-0.5443672513610602,0.12969102308955,-0.6851601597031488,0.0416747123539534
EOG_Overall_R2,-0.4013474900458116,0.2843327240644369,-0.5270462766947298,0.1448392555439479
