Window_Center_s,Raw_Four_Class_D,Clean_Four_Class_D,Delta_Four_Class_D
0.25,0.0080785556502436,0.0090965271862005,0.0010179715359568
0.35,0.0125282116508227,0.0132570499228591,0.0007288382720363
0.4499999999999999,0.0096784132428809,0.0089363457503252,-0.0007420674925556
0.55,0.0089947028001507,0.0065734693057782,-0.0024212334943724
0.65,0.0096496507216333,0.0101507493288082,0.0005010986071748
0.75,0.0119168484198733,0.00988041465521,-0.0020364337646632
0.8500000000000001,0.0094212747539878,0.0077830073556443,-0.0016382673983435
0.9500000000000002,0.0102990573382938,0.0112067752215953,0.0009077178833015
1.05,0.0122790808743891,0.0118102556543782,-0.0004688252200108
1.15,0.0117961947481735,0.0104107458651985,-0.001385448882975
1.25,0.0152686034579274,0.0112911112367409,-0.0039774922211865
1.35,0.0113955240147433,0.0106695074410323,-0.000726016573711
1.4500000000000002,0.0126530125066316,0.0113730404106687,-0.0012799720959628
1.55,0.0145132897343488,0.0113031805830771,-0.0032101091512716
1.65,0.0123405373393701,0.0109546437724815,-0.0013858935668886
1.75,0.0106579867918682,0.0113978702762143,0.0007398834843461
1.85,0.0106518481676867,0.0115072084635895,0.0008553602959028
1.95,0.0081087469805301,0.0099139750836072,0.0018052281030771
2.05,0.0085322293920102,0.0125962070244909,0.0040639776324806
2.1500000000000004,0.0105886938856198,0.0123673900391528,0.0017786961535329
2.25,0.0126645546074589,0.0157369953408202,0.0030724407333612
2.35,0.0134069191760751,0.0118681408935899,-0.0015387782824851
2.45,0.0149428634324275,0.0173885539240578,0.0024456904916302
2.5500000000000003,0.0200292742136313,0.0214124492537668,0.0013831750401354
2.6500000000000004,0.0179342396329581,0.0272706801425442,0.0093364405095861
2.75,0.0255684860462221,0.0380771504620372,0.0125086644158151
2.85,0.0305598607647377,0.0461908537260145,0.0156309929612767
2.95,0.0317393430494612,0.0471499671886407,0.0154106241391795
3.0500000000000003,0.0342274942591291,0.0495286261403467,0.0153011318812176
3.1500000000000004,0.0353277108926433,0.0482044147503609,0.0128767038577176
3.25,0.0335689355148485,0.0412366391807343,0.0076677036658857
3.35,0.0250071860534627,0.0351371145456955,0.0101299284922327
3.45,0.0225069690554642,0.0325540581806366,0.0100470891251723
3.5500000000000003,0.0223007832165444,0.0345417069260123,0.0122409237094679
3.65,0.0214710299303236,0.0325754842378107,0.011104454307487
3.75,0.021514891362192,0.030599186526524,0.009084295164332
