Feature,Outcome,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p,Pearson_p_Holm,Spearman_p_Holm,Kendall_p_Holm
EOG_Gamma_R2,Delta_Accuracy,-0.3522549186129755,0.3525135944962682,-0.1924703040138163,0.6198061390079386,-0.1408590424547527,0.6001794871405538,1.0,1.0,1.0
EOG_Gamma_R2,Delta_F1,-0.2402355835753513,0.5335265493160243,-0.1666666666666666,0.668231040071504,-0.1666666666666666,0.612202380952381,1.0,1.0,1.0
Delta_Theta_R2,Delta_Accuracy,0.0079435928217207,0.983818296504861,0.0502096445253433,0.8979283954703233,-0.0281718084909505,0.916511907863894,1.0,1.0,1.0
Delta_Theta_R2,Delta_F1,-0.1942736383930306,0.616466273728745,0.0166666666666666,0.966054803994686,0.0,1.0,1.0,1.0,1.0
Delta_Alpha_Mu_R2,Delta_Accuracy,-0.5681109512095694,0.1105190285992911,-0.1924703040138163,0.6198061390079386,-0.0845154254728516,0.7531523647659145,0.7736332001950381,1.0,1.0
Delta_Alpha_Mu_R2,Delta_F1,-0.7156758129198783,0.0301522943039969,-0.2333333333333333,0.5456987782182727,-0.1666666666666666,0.612202380952381,0.2412183544319754,1.0,1.0
Gamma_Relative_Power,Delta_Accuracy,-0.1640131111732333,0.6732749039070294,-0.3096261412396175,0.4174779170120546,-0.253546276418555,0.3454475304692257,1.0,1.0,1.0
Gamma_Relative_Power,Delta_F1,-0.1853573646218045,0.6330379237080122,-0.1833333333333333,0.6368198117628943,-0.1666666666666666,0.612202380952381,1.0,1.0,1.0
