Feature,Benefit_N,No_Benefit_N,Benefits_Mean,No_Benefit_Mean,Mean_Difference,Mann_Whitney_U,p,p_Holm
EOG_Gamma_R2,2,7,32.64256116140738,50.25631844082947,-17.61375727942209,4.0,0.5,0.6666666666666666
Delta_Theta_R2,2,7,-0.0652796466313647,-0.0509735203881834,-0.0143061262431813,3.0,0.3333333333333333,0.6666666666666666
Delta_Alpha_Mu_R2,2,7,-0.034069218617241,0.0319980812366704,-0.0660672998539114,0.0,0.0555555555555555,0.2222222222222222
Gamma_Relative_Power,2,7,3.846213082450325,6.155984554798741,-2.309771472348416,2.0,0.2222222222222222,0.6666666666666666
