Outcome,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Mean_Accuracy_Improvement,9,0.4263386411935286,0.2525033399104951,0.7166666666666667,0.0298180356958452
Mean_F1_Improvement,9,0.4938202276534498,0.1766665804230527,0.65,0.0580730580171486
