Feature_Set,N_Features,Inner_Action_Accuracy,Held_Out_Subject
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,0.75,A06
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,0.75,A06
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,0.75,A06
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,0.75,A06
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.75,A06
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.75,A06
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,4,0.75,A06
Delta_Theta_R2,1,0.5,A06
Gamma_Relative_Power,1,0.5,A06
Delta_Theta_R2+Gamma_Relative_Power,2,0.5,A06
EOG_Gamma_R2+Delta_Theta_R2,2,0.375,A06
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,0.375,A06
EOG_Gamma_R2+Gamma_Relative_Power,2,0.25,A06
EOG_Gamma_R2,1,0.0,A06
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,0.5,A07
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,0.5,A07
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,4,0.5,A07
Delta_Theta_R2,1,0.375,A07
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,0.375,A07
Delta_Theta_R2+Gamma_Relative_Power,2,0.375,A07
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.375,A07
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.375,A07
Delta_Alpha_Mu_R2,1,0.25,A07
EOG_Gamma_R2+Delta_Theta_R2,2,0.25,A07
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,0.25,A07
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,0.25,A07
EOG_Gamma_R2,1,0.125,A07
EOG_Gamma_R2+Gamma_Relative_Power,2,0.125,A07
Gamma_Relative_Power,1,0.0,A07
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,0.5,A08
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.5,A08
Delta_Alpha_Mu_R2,1,0.375,A08
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,0.375,A08
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,0.375,A08
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,4,0.375,A08
EOG_Gamma_R2,1,0.25,A08
Delta_Theta_R2,1,0.25,A08
Gamma_Relative_Power,1,0.25,A08
EOG_Gamma_R2+Delta_Theta_R2,2,0.25,A08
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,0.25,A08
EOG_Gamma_R2+Gamma_Relative_Power,2,0.25,A08
Delta_Theta_R2+Gamma_Relative_Power,2,0.25,A08
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,0.25,A08
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.25,A08
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,0.625,A09
Delta_Theta_R2,1,0.5,A09
Delta_Alpha_Mu_R2,1,0.5,A09
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,0.5,A09
Delta_Theta_R2+Gamma_Relative_Power,2,0.5,A09
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,0.5,A09
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.5,A09
EOG_Gamma_R2+Delta_Theta_R2,2,0.375,A09
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.375,A09
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,4,0.375,A09
Gamma_Relative_Power,1,0.25,A09
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,0.25,A09
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,0.25,A09
EOG_Gamma_R2,1,0.125,A09
EOG_Gamma_R2+Gamma_Relative_Power,2,0.125,A09
