Pair,Accuracy_Pearson_r,Accuracy_Pearson_p,Accuracy_Spearman_rho,Accuracy_Spearman_p,F1_Pearson_r,F1_Pearson_p,F1_Spearman_rho,F1_Spearman_p
Left_vs_Right,-0.0214445673375316,0.9563302244343336,0.0,1.0,-0.3702505088460443,0.3266703379382609,-0.2333333333333333,0.5456987782182727
Left_vs_Feet,-0.4320061074846024,0.2455628218780697,-0.2833333333333333,0.4600303289657199,-0.7179024191909475,0.0294045678285649,-0.45,0.2242161074923365
Left_vs_Tongue,-0.5006260704780914,0.169850001749212,-0.6,0.0876228290414024,-0.7738817645443857,0.0143936401626597,-0.7166666666666667,0.0298180356958452
Right_vs_Feet,0.4346267701547812,0.2423885236252901,0.0666666666666666,0.8646897846262037,0.2018939932056171,0.6024206527158333,-0.2333333333333333,0.5456987782182727
Right_vs_Tongue,-0.2218489327180983,0.5661811571365849,-0.3166666666666666,0.4063970144863861,-0.3328655594734284,0.3814233725737939,-0.3999999999999999,0.2861051019083129
Feet_vs_Tongue,-0.3653994912254103,0.3335415172612599,-0.3999999999999999,0.2861051019083129,-0.5042118244383591,0.1663202202356743,-0.5833333333333334,0.0991858164798832
