Band,Channel,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Mu,C3,0.575147902673745,0.105187617830395,0.2166666666666666,0.5755148957119259
Mu,Cz,0.307524087005501,0.4208124335414454,0.0833333333333333,0.831214097710308
Mu,C4,0.2860751953588918,0.4555086767259446,-0.0666666666666666,0.8646897846262037
Beta,C3,-0.0378466827383903,0.9229913423437428,0.0833333333333333,0.831214097710308
Beta,Cz,-0.1092468028539,0.7796458470191828,-0.0499999999999999,0.8983528043506301
Beta,C4,-0.2494830167299293,0.5173861226156247,0.0499999999999999,0.8983528043506301
